aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,chapala_flow,calderon_flow,zapotillo_flow,pozos_flow,toluquilla_flow,scenario,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,min_supplied_demand,supplied_demand_GINI,ZAs_below_128,ZAs_below_100,ZAs_below_50,scenario,experiment
-0.07679275917073303,0.08103308974726067,0.43023174669548164,-0.5078648773951878,4.252349680641404,0.9603066298329358,0.3293536600418003,0.3047869769122122,0.861636143732616,113504.0,3.4444032413195376,0.8079464393218668,1.289660289874736,0.861636143732616,0.3047869769122122,1.7823694547913647,0.4357321142343491,0.5922428252115219,0.49448141386564876,0.7642898029534267,4.069115611056311,2.93292,0.75717,0.94351,0.78229,1.20143,0.60771,0.57547,0.6277,0.63209,0.63615,0.39229,0.42452999999999996,0.37229999999999996,0.36790999999999996,0.36385,97.0,85.0,98.0,93.0,93.0,0.57547,0.018932682065005587,5.0,5.0,0.0,113504.0,supplied_demand_GINI  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 1
0.9003601805785432,-0.1757408417579172,0.7632095841288011,0.9369802672425492,2.1274107326044462,0.5756653954748597,0.8653252440290362,1.394283417240927,0.3461333542430847,172599.0,1.7232026934096016,0.40420803919484477,1.4409906395038958,0.3461333542430847,1.394283417240927,1.5019090221622249,0.35857530683592986,0.44201790899505855,0.37616747677561313,0.5939507485172139,3.2726204632860405,2.93292,0.75717,0.94351,0.78229,1.20143,0.51209,0.47357,0.46848,0.48085,0.49437,0.48790999999999995,0.52643,0.53152,0.51915,0.50563,82.0,70.0,73.0,71.0,72.0,0.46848,0.017785754272730277,5.0,5.0,0.0,172599.0,supplied_demand_GINI  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 1
-0.39495025011147133,0.11866155463254392,0.1786950716567135,-0.8861401463713513,5.825276192876982,0.8201162919273862,0.3810421529392979,0.5570904095968308,0.9263411292095728,142217.0,4.718473716230355,1.1068024766466265,1.201158444866684,0.9263411292095728,0.5570904095968308,2.2533216155134435,0.591932086621732,0.7595002471037884,0.5902200387383736,0.9745877293838354,5.169561717361173,2.93292,0.75717,0.94351,0.78229,1.20143,0.76829,0.78177,0.80497,0.75448,0.81119,0.23170999999999997,0.21823000000000004,0.19503000000000004,0.24551999999999996,0.18881000000000003,123.0,115.0,126.0,111.0,119.0,0.75448,0.015313591960619257,5.0,0.0,0.0,142217.0,supplied_demand_GINI  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 1
-0.5433904842572843,0.11464250999416618,0.42600922299493416,-0.20486913071069157,5.887936592268867,0.6744270969480932,0.6583935599710394,1.084133967643649,0.0451839080990559,197650.0,4.769228639737782,1.1187079525310846,1.3328206569191328,0.0451839080990559,1.084133967643649,2.1838350524276753,0.6017413258088326,0.7442391394507909,0.6074061393571107,0.9597268515039867,5.096948508548396,2.93292,0.75717,0.94351,0.78229,1.20143,0.74459,0.79472,0.7888,0.77645,0.79882,0.25541,0.20528000000000002,0.21120000000000005,0.22355000000000003,0.20118000000000003,119.0,117.0,123.0,115.0,117.0,0.74459,0.012986693583509677,5.0,0.0,0.0,197650.0,supplied_demand_GINI  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 1
-0.21430217962127113,0.14397142301550878,0.7815723443683831,-0.03644560675690478,6.35044281088473,1.1698774447460307,0.7040513873064732,1.0324033988301249,0.3293239241095941,199120.0,5.143858676816632,1.2065841340680987,1.873928832052504,0.3293239241095941,1.0324033988301249,2.597030644965549,0.635798684084085,0.8525618219442865,0.7012398370871579,1.0551401914383103,5.841771179519389,2.93292,0.75717,0.94351,0.78229,1.20143,0.88548,0.8397,0.90361,0.89639,0.87824,0.11451999999999996,0.1603,0.09638999999999998,0.10360999999999998,0.12175999999999998,142.0,123.0,141.0,132.0,129.0,0.8397,0.013259693601791337,1.0,0.0,0.0,199120.0,supplied_demand_GINI  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 1
-0.7435657121419893,0.40552206761461007,0.20029567190494757,-0.9574397449436387,7.315311168105457,0.4814529806657858,0.4038160877915831,0.3897448540741844,0.5374444091208287,113165.0,5.925402046165421,1.3899091219400368,0.885269068457369,0.5374444091208287,0.3897448540741844,2.668759159585864,0.5766107202632555,0.7192091401234042,0.6207623715242729,0.9501286619671926,5.53547005346399,2.93292,0.75717,0.94351,0.78229,1.20143,0.90993,0.76153,0.76227,0.79352,0.79083,0.09006999999999998,0.23846999999999996,0.23773,0.20648,0.20916999999999997,146.0,112.0,119.0,117.0,116.0,0.76153,0.03265738860351212,4.0,0.0,0.0,113165.0,supplied_demand_GINI  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 1
0.047933303163251735,-0.018077979515220874,0.8231415907676335,0.08893420692418189,2.66698914416373,1.0874181643067111,0.4400086594337586,0.078430606953488,0.2671154938424157,156244.0,2.1602612067726215,0.5067279373911087,1.5274268237404698,0.2671154938424157,0.078430606953488,1.1803291986108775,0.31806772483781875,0.3867327731712121,0.34584684930202614,0.516999117223662,2.7479756631455965,2.93292,0.75717,0.94351,0.78229,1.20143,0.40244,0.42007,0.40989,0.4421,0.43032,0.59756,0.5799300000000001,0.59011,0.5579000000000001,0.56968,64.0,62.0,64.0,65.0,63.0,0.40244,0.018956490341216815,5.0,5.0,0.0,156244.0,supplied_demand_GINI  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 1
0.28330073437665065,0.01854258141139703,0.8966402736680645,0.46876596223409517,6.752624382032107,1.2875557379347822,0.8394786073528642,1.882538889365616,0.4899595861153808,172729.0,5.469625749446007,1.2829986325861005,2.1270343452876466,0.4899595861153808,1.882538889365616,3.0937675910201206,0.7635199954808896,0.9597588173770785,0.837972625340653,1.2325655193404474,6.887584548559189,2.93292,0.75717,0.94351,0.78229,1.20143,1.05484,1.00839,1.01722,1.07118,1.02592,0.05484,0.008389999999999898,0.017220000000000013,0.07118000000000002,0.025919999999999943,169.0,148.0,159.0,158.0,150.0,1.00839,0.012608279977981881,0.0,0.0,0.0,172729.0,supplied_demand_GINI  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 1
0.055295908421109805,-0.7593727937682984,0.578237308360456,0.8734835782372481,1.3546298287575391,1.2798249456096065,0.995766474692366,2.4521396820152703,0.0016408099276777,110979.0,1.0972501612936068,0.2573796674639324,2.2755914203019723,0.0016408099276777,2.4521396820152703,0.6196355362754683,0.6491783249313411,0.8249266058508372,0.6442861975482078,1.0513247433618271,3.7893514079676818,2.93292,0.75717,0.94351,0.78229,1.20143,0.21127,0.85737,0.87432,0.82359,0.87506,0.7887299999999999,0.14263000000000003,0.12568000000000001,0.17640999999999996,0.12494000000000005,34.0,126.0,137.0,122.0,128.0,0.21127,0.15139567389149303,3.0,1.0,1.0,110979.0,supplied_demand_GINI  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 1
0.8000703186976801,-0.17520324032140638,0.17629009766836345,0.5904154233272892,3.4953067311482564,0.3247263259000624,0.6609938228086122,2.156297603671949,0.7158961267377555,111794.0,2.8311984522300877,0.6641082789181687,0.9857201487086746,0.7158961267377555,2.156297603671949,2.0261300358018093,0.5153355608149471,0.6477158486783968,0.529890531194725,0.8240614233833762,4.543133399873255,2.93292,0.75717,0.94351,0.78229,1.20143,0.69082,0.68061,0.6865,0.67736,0.6859,0.30918,0.31938999999999995,0.3135,0.32264000000000004,0.31410000000000005,111.0,100.0,107.0,100.0,100.0,0.67736,0.003836092119993336,5.0,0.0,0.0,111794.0,supplied_demand_GINI  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 1
