,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,chapala_flow,calderon_flow,zapotillo_flow,pozos_flow,toluquilla_flow,scenario,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,min_supplied_demand,supplied_demand_GINI,ZAs_below_128,ZAs_below_100,ZAs_below_50,scenario,experiment,scenario_name
0,0.0994571113447893,-0.713867057644193,-0.2773146703066771,-0.1190494900659953,3.6318991721627434,0.12465032904534198,0.9445790306011512,1.4381401361367907,0.7299085026153666,0.0,2.9418383294518224,0.6900608427109213,1.0692293596464932,0.7299085026153666,1.4381401361367907,1.6295874401093047,0.8811553668874773,0.5495483138347026,0.5312971731021925,0.6262646818649097,2.93292,0.75717,0.94351,0.78229,1.20143,0.55562,1.16375,0.58245,0.67916,0.52127,0.44438,0.16375000000000006,0.41755,0.32084,0.47873,89.0,171.0,91.0,100.0,76.0,0.52127,0.16086801341994433,4.0,3.0,0.0,0.0,ZAs below 50 - 50 scenarios - 1000nfe epsilon 0.5,
1,-0.9217727167551837,0.06152501813316302,-0.40743162064291627,-0.5554053289341607,6.745804166270761,0.2013892580936207,0.3546750531664821,1.1831301496459474,0.5348312664131915,1.0,5.464101374679317,1.2817027915914447,0.5560643112601028,0.5348312664131915,1.1831301496459474,2.30753110138354,0.7347980757304724,0.7947696108151567,0.973190908295074,0.6960298962598043,2.93292,0.75717,0.94351,0.78229,1.20143,0.78677,0.97045,0.84235,1.24403,0.57933,0.21323000000000003,0.029549999999999965,0.15764999999999996,0.24402999999999997,0.42067,126.0,143.0,132.0,184.0,85.0,0.57933,0.1368396063243144,2.0,1.0,0.0,1.0,ZAs below 50 - 50 scenarios - 1000nfe epsilon 0.5,
2,-0.4505781846567156,-0.616673983586689,0.3898406785914428,-0.3102780030157879,5.046180124786911,1.2628567284108905,0.8046310067064634,0.1591009134588039,0.08630054328021305,2.0,4.087405901077398,0.9587742237095132,2.067487735117354,0.08630054328021305,0.1591009134588039,1.8814606231102673,0.9804171075637486,0.6162449242122991,0.4419325324186107,0.5357413061683136,2.93292,0.75717,0.94351,0.78229,1.20143,0.6415,1.29484,0.65314,0.56492,0.44592,0.35850000000000004,0.29484,0.34685999999999995,0.43508,0.55408,103.0,190.0,102.0,83.0,65.0,0.44592,0.19843347258021513,4.0,2.0,0.0,2.0,ZAs below 50 - 50 scenarios - 1000nfe epsilon 0.5,
3,0.3002320739566553,-0.9556635927205308,-0.2576122937314349,-0.15167432530391534,1.8931725604059533,0.33049831515414047,0.46634827616774255,2.4720794924262868,0.3134467363123154,3.0,1.5334697739288223,0.3597027864771311,0.796846591321883,0.3134467363123154,2.4720794924262868,1.0108954290110024,0.8386216696937708,0.34933075412658315,0.03911432338376221,1.1844846231822397,2.93292,0.75717,0.94351,0.78229,1.20143,0.34467,1.10757,0.37025,0.05,0.9859,0.65533,0.10756999999999994,0.62975,0.95,0.014100000000000001,55.0,163.0,58.0,7.0,144.0,0.05,0.3857234317220533,3.0,3.0,1.0,3.0,ZAs below 50 - 50 scenarios - 1000nfe epsilon 0.5,
4,0.4321023961593502,0.6085859077736946,0.41663206994622026,-0.1528123100099822,7.53819303257517,0.5904674742985917,0.41138074317074164,2.2810061972673923,0.661825065525006,4.0,6.105936356385888,1.4322566761892823,1.0018482174693333,0.661825065525006,2.2810061972673923,3.528980461646614,0.4702183207035197,1.0269180476928312,0.4924563969565085,1.5266089889860994,2.93292,0.75717,0.94351,0.78229,1.20143,1.20323,0.62102,1.0884,0.62951,1.27066,0.20323000000000002,0.37898,0.08840000000000003,0.37049,0.2706599999999999,193.0,91.0,170.0,93.0,186.0,0.62102,0.15566757119526595,2.0,2.0,0.0,4.0,ZAs below 50 - 50 scenarios - 1000nfe epsilon 0.5,
5,-0.19364703041855763,-0.20580715993962984,-0.21853124624163614,-0.08385466917397488,2.4662761570544642,0.25342606065079837,0.4465857098757292,1.3172660173773476,0.05044534459249162,5.0,1.9976836872141162,0.4685924698403482,0.7000117705265276,0.05044534459249162,1.3172660173773476,0.9368172444783588,0.41703880197924986,0.6026723536386452,0.26389567851155743,0.5803140957163354,2.93292,0.75717,0.94351,0.78229,1.20143,0.31941,0.55079,0.63876,0.33734,0.48302,0.68059,0.44921,0.36124,0.66266,0.51698,51.0,81.0,100.0,50.0,71.0,0.31941,0.14633455257328318,5.0,4.0,0.0,5.0,ZAs below 50 - 50 scenarios - 1000nfe epsilon 0.5,
6,-0.506126084825341,0.015575023035390378,-0.05070879970375916,-0.33085494231409507,3.1537451652603417,0.016403008340543757,0.3289299191974566,0.9946999196046318,0.03490211782569641,6.0,2.5545335838608767,0.599211581399465,0.3453329275380004,0.03490211782569641,0.9946999196046318,1.0299277301341603,0.3520996359829728,0.38114922902577053,0.33326153798607155,0.6864078519362666,2.93292,0.75717,0.94351,0.78229,1.20143,0.35116,0.46502,0.40397,0.42601,0.57133,0.64884,0.53498,0.5960300000000001,0.57399,0.42867,56.0,68.0,63.0,63.0,84.0,0.35116,0.09044279793820942,5.0,5.0,0.0,6.0,ZAs below 50 - 50 scenarios - 1000nfe epsilon 0.5,
7,-0.7911865000297578,-0.09581832312522987,0.23617879860569668,-0.0215394458817304,4.951779931938391,0.9478137958130587,0.6105198830329133,0.8418769392410587,0.42121694455705955,7.0,4.010941744870097,0.9408381870682943,1.558333678845972,0.42121694455705955,0.8418769392410587,1.6193893455817543,0.6310185941141833,0.8356585818386255,1.056794342563971,0.5943484671120444,2.93292,0.75717,0.94351,0.78229,1.20143,0.55214,0.83339,0.88569,1.3509,0.4947,0.44786000000000004,0.16661000000000004,0.11431000000000002,0.3509,0.5053000000000001,88.0,122.0,138.0,200.0,72.0,0.4947,0.1987893568336726,3.0,2.0,0.0,7.0,ZAs below 50 - 50 scenarios - 1000nfe epsilon 0.5,
8,0.0997631439027109,0.03694546020619627,-0.7441813923861305,-0.1345105044015522,4.353464679523146,0.4124630598185938,0.000365168690637101,2.248640900867302,0.3419067028879363,8.0,3.5263063904137484,0.8271582891093977,0.4128282285092309,0.3419067028879363,2.248640900867302,1.9406999909812594,0.4760026366326033,1.0496104354315918,0.3394353277698747,0.7437748595497463,2.93292,0.75717,0.94351,0.78229,1.20143,0.6617,0.62866,1.11245,0.4339,0.61907,0.33830000000000005,0.37134,0.11244999999999994,0.5661,0.38093,106.0,92.0,174.0,64.0,91.0,0.4339,0.16201610056195706,4.0,3.0,0.0,8.0,ZAs below 50 - 50 scenarios - 1000nfe epsilon 0.5,
9,-0.6967723933222845,-0.43573702948116644,0.22001392594373237,-0.9141482828020618,1.574617279729893,0.7076509705561692,0.09464671740983696,1.915785034888762,0.5196269667976742,9.0,1.2754399965812133,0.29917728314867964,0.8022976879660062,0.5196269667976742,1.915785034888762,0.22558100492185731,0.464081736826135,0.3078028858848056,0.29024579607289386,1.7085084483733688,2.93292,0.75717,0.94351,0.78229,1.20143,0.07691,0.61292,0.32623,0.37102,1.42206,0.92309,0.38708,0.67377,0.62898,0.4220600000000001,12.0,90.0,51.0,55.0,208.0,0.07691,0.423900553194216,4.0,4.0,1.0,9.0,ZAs below 50 - 50 scenarios - 1000nfe epsilon 0.5,
