policy,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,experiment_name,scenario,seed,duration
0,-0.0226801104060829,-0.4298367090627158,0.0009012132525945,-3.1407742128383045e-05,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,0.7608556082360461,0.4861328608907653,0.6105203504950483,0.3908849767315705,1.11600620364657,3.3644000000000007,0.2594188533974793,0.6420404008617283,0.6470729391313167,0.4996648182873238,0.928902071617476,0.7405811466025207,0.3579595991382717,0.3529270608686833,0.5003351817126762,0.071097928382524,41.57215535828778,94.31566755879788,101.05880739204152,73.82604378439142,136.07027683864783,0.5954198166590647,89.3685901864333,0.2594188533974793,0.1935615241259071,0.1997077713165974,0.1133623601158804,5.0,3.0,1.0,All Aggregated Objectives,chapala_incident,1,82.0
1,-0.2389225591263953,-0.5158459323980316,-0.1453988523304762,-0.0001632604087103,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,0.6202980165678431,0.5420388560587205,0.6497093979560892,0.5313568641664953,1.0209968652508523,3.3644000000000007,0.2114947941250344,0.715875992807596,0.6886082820593786,0.6792287930825213,0.8498215333817427,0.7885052058749655,0.284124007192404,0.3113917179406213,0.3207712069174787,0.1501784666182573,33.89227237606955,105.16210827285076,107.54573022111931,100.3568247802763,124.48615935299246,0.6290058790912546,94.28861900066167,0.2114947941250344,0.1598298343034311,0.1670319113882826,0.2250826510659034,5.0,1.0,1.0,All Aggregated Objectives,chapala_incident,1,82.0
2,-2.6220086940822664e-05,-0.1430092209654835,-0.0001967748245814,-2.109408407056149e-15,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,0.7755806369434887,0.2996949936275643,0.7976719100084136,0.3761803630565102,1.1152720963640237,3.3644000000000007,0.2644394512904038,0.395810094985804,0.8454294879001282,0.4808680403160386,0.9282910411650298,0.7355605487095962,0.6041899050141959,0.1545705120998718,0.5191319596839614,0.0717089588349702,42.3767116689132,58.144461446651285,132.03781307243412,71.04879851371155,135.98077000540715,0.5829676231314809,87.91771094142345,0.2644394512904038,0.2375871396130717,0.2439000043421243,0.0358080539692519,5.0,3.0,1.0,All Aggregated Objectives,chapala_incident,1,82.0
3,-2.8442078686602423e-05,-0.2462820990388122,-0.000216560894705,-1.5175805776549943e-08,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,0.7755791926488538,0.3668223643752279,0.7305574002063304,0.3761817974868726,1.1152592452827157,3.3644000000000007,0.2644389588484028,0.4844658668763369,0.7742967515699183,0.4808698739357196,0.9282803446330476,0.7355610411515972,0.5155341331236631,0.2257032484300817,0.5191301260642804,0.0717196553669523,42.376632754543245,71.1679850404522,120.9284171058618,71.04906943309972,135.9792031232648,0.5864703591726851,88.30026149144435,0.2644389588484028,0.2147984473936598,0.2211344016076564,0.0616317792970024,5.0,3.0,1.0,All Aggregated Objectives,chapala_incident,1,82.0
4,-0.2850405579118898,-0.5287997530239281,-0.229926194138124,-0.0001632604087103,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,0.5903213173572717,0.5504588394655533,0.6962321867242274,0.5613335633770667,0.9660540930758812,3.3644000000000003,0.2012740362655024,0.7269963468438699,0.7379164462186482,0.7175477432994029,0.8040901971875755,0.7987259637344976,0.27300365315613,0.2620835537813518,0.2824522567005971,0.1959098028124245,32.25438473586447,106.79568711463962,115.24659972636614,106.01849314864374,117.7872017704066,0.6375649539629997,95.62047329918411,0.2012740362655024,0.150841119627334,0.1538354349175272,0.260982441370663,5.0,1.0,1.0,All Aggregated Objectives,chapala_incident,1,82.0
0,0.1288936664803948,-0.8365134752952126,-0.4665527140365273,-0.1092318721446946,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,0.8593785632122567,0.7504727589418883,0.6500255051818546,0.2213817198936918,0.8831414527703089,3.3644000000000007,0.2930109196668137,0.9911566770120604,0.6889433150054399,0.2829903000308443,0.7350782839101545,0.7069890803331863,0.0088433229879396,0.3110566849945601,0.7170096999691556,0.2649217160898455,46.95532076614259,145.60081191508186,107.5980551259615,41.812137889247104,107.6779874282833,0.5982358991250626,89.92886262494326,0.2829903000308443,0.2386775563549874,0.2485173652632664,0.3852979319892073,4.0,2.0,2.0,Sup. Dem. Deficit & Energy,chapala_incident,1,1398.0
1,-0.2044053738702544,-0.7434559024921047,-0.6126246335545351,-0.1710656190148418,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,0.6427341869843347,0.689985336619868,0.8054596751905798,0.3978341606560182,0.8283866405491995,3.3644000000000003,0.2191445578135357,0.9112703496332394,0.8536835159625877,0.5085478988085761,0.6895033952249283,0.7808554421864642,0.0887296503667606,0.1463164840374122,0.4914521011914239,0.3104966047750717,35.11815538475474,133.86551880044058,133.3269138549401,75.13852900948712,101.00194706862412,0.6364299434885735,95.69021282364933,0.2191445578135357,0.2137590494426271,0.2173860257188817,0.432887882232934,5.0,2.0,1.0,Sup. Dem. Deficit & Energy,chapala_incident,1,1398.0
2,-0.4971790656099848,-0.385357764374973,-0.5152884064163721,-0.0141409160841601,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,0.4524312873535099,0.4572215468437325,0.9749549173269094,0.690138117191786,0.7896541312840624,3.3644000000000003,0.1542595001415573,0.6038569470088376,1.0333266423694256,0.8821974684296893,0.6572645886862478,0.8457404998584427,0.3961430529911623,0.0333266423694256,0.1178025315703107,0.3427354113137522,24.720253834253317,88.7065221919294,161.38328743042126,130.3456768359426,96.27944351878564,0.6661810293271515,100.28703676226645,0.1542595001415573,0.2512509947485907,0.2445551243551255,0.3529915381213725,4.0,3.0,1.0,Sup. Dem. Deficit & Energy,chapala_incident,1,1398.0
3,-0.0728612523876974,-0.3194295299960239,-0.1517078418866563,-0.2249695984882113,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,0.7282378659479968,0.4143681944974156,0.7814809027289112,0.277292895034666,1.1630201417910109,3.3644000000000007,0.2482976140806033,0.5472601074775957,0.8282691055159063,0.3544610620965618,0.9680338832459148,0.7517023859193966,0.4527398925224043,0.1717308944840937,0.6455389379034382,0.0319661167540851,39.78996457838529,80.39245239983721,129.3577322449636,52.372024069853424,141.80250266112637,0.5892643544833164,88.74293519083318,0.2482976140806033,0.2533256613487535,0.2597517487277961,0.1922420556896472,5.0,3.0,1.0,Sup. Dem. Deficit & Energy,chapala_incident,1,1398.0
4,0.3099208579444847,-0.7497419694290193,-0.4587978083514373,-0.1719600066362199,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,0.9770462376639152,0.6940712801288625,0.7013862952995717,0.0629407580225419,0.9289554288851088,3.3644,0.3331305072176845,0.9166666949936544,0.7433791374815122,0.0804566158647657,0.7732113132634112,0.6668694927823156,0.0833333050063455,0.2566208625184878,0.9195433841352344,0.2267886867365888,53.38452860794795,134.6582413679959,116.0997540321498,11.887556274095282,113.26390656802516,0.5693688537642057,85.85879737004282,0.0804566158647657,0.2872219085794534,0.2968200245359202,0.4226051605902903,5.0,2.0,1.0,Sup. Dem. Deficit & Energy,chapala_incident,1,1398.0
