,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,aqp4_Toluquilla_to_PP1,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos
378,0.20632918071495154,-0.09360018356362632,-0.8332314667870155,0.07528508049681759,0.46177,0.63863,0.64181,1.31542,0.13565000000000005
379,0.9429314669806597,-0.5529796849880397,-0.36760237791436823,0.6114766007815151,0.34294,1.27097,0.18212000000000006,1.37405,0.6361
380,-0.6702431279574581,0.6347504723894766,0.8061603699718156,0.4814687594434589,0.37175,0.11387999999999998,1.7474699999999999,0.29074999999999995,0.62854
381,-0.14013344326688126,-0.14589648092555071,-0.8359802346341515,-0.9397919737020259,0.6867300000000001,0.34119999999999995,0.84447,0.47428000000000003,0.16244999999999998
382,-0.04380812983806326,-0.8526281233851887,-0.567901985685545,-0.6720074610182344,0.62739,0.42389,0.29123,0.47402999999999995,0.6898500000000001
383,0.24293656332843744,0.8126871901887744,-0.21765066237890163,0.9040209231761278,0.2781,0.67005,1.24095,1.49253,0.021630000000000038
384,-0.8211541007365607,0.4821985472795316,-0.16738799846736446,0.5894055947491845,0.34783,0.24343000000000004,1.74634,1.18935,0.18435999999999997
385,-0.5657560233119847,0.5626095980040163,-0.10647557131550908,0.7172930602268333,0.31949000000000005,0.02418000000000009,1.6257899999999998,1.245,0.17381000000000002
386,0.5398380317672437,0.2178197784788698,-0.8388858549916651,0.8116540432586711,0.29857,0.92493,0.62659,1.9319600000000001,0.03590000000000004
387,0.4550983860225412,-0.9318176920158805,0.2933474378742239,0.7438602055011834,0.3136,0.8521799999999999,0.10702999999999996,0.93486,1.19864
388,0.138078874694825,-0.8822161734060189,0.9526230921543895,0.18217891712166145,0.43808,0.58004,0.14554,0.07962000000000002,1.5284900000000001
389,-0.14381607466916158,-0.47736033484253076,-0.6765846932769576,0.5076048937793063,0.36595999999999995,0.33804,0.6186499999999999,1.54447,0.42801999999999996
390,0.805783716062636,0.28861973460211976,-0.8053359398803128,-0.9044792752168029,0.67891,1.15323,0.49216000000000004,0.47816000000000003,0.05604999999999993
391,0.08159957761285935,0.5132962385030104,0.45185314869348986,0.43496164985056684,0.38205999999999996,0.53155,1.14584,0.5465,0.50256
392,-0.21913060574591992,-0.8651041081900881,-0.09659616562516297,0.11884928582535054,0.45211,0.27339,0.40342,0.7395499999999999,0.95158
393,-0.8299447764744325,0.18795105770699705,0.9903088661553382,0.8539440388686907,0.2892,0.2509699999999999,1.54968,0.44723,0.9699
394,0.3382249116136993,-0.4299507246053387,-0.6932855379975629,-0.16445643426911105,0.5149,0.75185,0.31923,0.99994,0.39332999999999996
395,0.3595819704635401,-0.8500054111461668,-0.9940650818686118,-0.8148284647428783,0.6590400000000001,0.77019,0.015129999999999977,0.70946,0.45786000000000004
