aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,average_supply_percapita,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,experiment
-0.5525718545024616,0.5638072032655095,-0.24392074232322525,-0.4292184744009767,5.751,1.349,0.0,0.4,2.2,2.7001302545734,0.4489958178774188,0.8110231646326775,0.7677572370659651,1.2358435258505387,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.921,0.593,0.859,0.982,1.029,0.07899999999999996,0.40700000000000003,0.14100000000000001,0.018000000000000016,0.028999999999999915,148.0,87.0,134.0,145.0,151.0,0.8768,133.0,0.593,0.08541353383458647,0.0907846715328467,138.0,0.4473795686230433,2.0,1.0,0.0,supplied_demand_deficit
-0.6842061124956789,0.3791903586005292,-0.6436902687113528,-0.567361999023763,5.751,1.349,0.0,0.4,2.2,2.614567986877809,0.5689967669096561,0.9508724077527234,0.7635262137567452,1.0657866247030667,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.891,0.752,1.007,0.976,0.887,0.10899999999999999,0.248,0.006999999999999895,0.02400000000000002,0.11299999999999999,143.0,110.0,157.0,144.0,130.0,0.9026,136.8,0.752,0.06315789473684211,0.05309107024152447,138.0,0.5686121847078309,2.0,0.0,0.0,supplied_demand_deficit
-0.7234317720898042,0.14120726315544507,-0.8753567383929579,-0.6450565563137042,5.751,1.349,0.0,0.4,2.2,2.5890713081416274,0.7236857789489607,0.9467666010064619,0.7385214302544649,0.9657048816484853,5.96375,2.933,0.757,0.944,0.782,1.201,0.883,0.956,1.003,0.944,0.804,0.11699999999999999,0.04400000000000004,0.0029999999999998916,0.05600000000000005,0.19599999999999995,141.0,140.0,157.0,139.0,118.0,0.9179999999999999,139.0,0.804,0.0460431654676259,0.041045751633986896,138.0,0.5962630824879779,4.0,0.0,0.0,supplied_demand_deficit
-0.6890582905286289,0.14120726315544507,-0.8753567383929579,-0.6450565563137042,5.751,1.349,0.0,0.4,2.2,2.6114140711563913,0.7236857789489607,0.9467666010064619,0.716178667239701,0.9657048816484853,5.96375,2.933,0.757,0.944,0.782,1.201,0.89,0.956,1.003,0.916,0.804,0.10999999999999999,0.04400000000000004,0.0029999999999998916,0.08399999999999996,0.19599999999999995,143.0,140.0,157.0,135.0,118.0,0.9138,138.6,0.804,0.04963924963924964,0.04062158021448892,138.0,0.587669712097684,3.0,0.0,0.0,supplied_demand_deficit
-0.6842061124956789,0.3791903586005292,-0.6436902687113528,-0.59677771610077,5.751,1.349,0.0,0.4,2.2,2.614567986877809,0.5689967669096561,0.9508724077527234,0.7444059976566908,1.0849068408031213,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.891,0.752,1.007,0.952,0.903,0.10899999999999999,0.248,0.006999999999999895,0.04800000000000004,0.09699999999999998,143.0,110.0,157.0,141.0,132.0,0.901,136.6,0.752,0.06149341142020498,0.05069922308546058,138.0,0.5759661139770826,3.0,0.0,0.0,supplied_demand_deficit
-0.2998971096385618,0.00944093485772668,-0.45842319615096505,-0.6169162088311803,5.751,1.349,0.0,0.4,2.2,2.864368838734935,0.8093338923424777,0.5901116851556497,0.48151512552479797,1.21842045824214,5.96375,2.933,0.757,0.944,0.782,1.201,0.977,1.069,0.625,0.616,1.015,0.02300000000000002,0.06899999999999995,0.375,0.384,0.014999999999999902,157.0,157.0,98.0,91.0,149.0,0.8603999999999999,130.4,0.616,0.11717791411042945,0.1205020920502092,139.0,0.3461693623696085,2.0,2.0,0.0,supplied_demand_deficit
-0.8740704199047094,0.19314128637688266,-0.548636922496564,-0.7412111345841476,5.751,1.349,0.0,0.4,2.2,2.491156187061939,0.6899286638550263,0.7681558357677404,0.7739360754583651,1.2405732378569294,5.96375,2.933,0.757,0.944,0.782,1.201,0.849,0.911,0.814,0.99,1.033,0.15100000000000002,0.08899999999999997,0.18600000000000005,0.010000000000000009,0.03299999999999992,136.0,134.0,127.0,146.0,151.0,0.9193999999999999,138.8,0.814,0.0345821325648415,0.05038068305416576,138.0,0.5892649408405759,3.0,0.0,0.0,supplied_demand_deficit
-0.5511284749652802,0.09730057538142896,-0.21348981007154788,-0.5174004499458755,5.751,1.349,0.0,0.4,2.2,2.701068451272568,0.7522251260020713,0.488013750544435,0.7095007562626131,1.3129419159183133,5.96375,2.933,0.757,0.944,0.782,1.201,0.921,0.994,0.517,0.907,1.093,0.07899999999999996,0.006000000000000005,0.483,0.09299999999999997,0.09299999999999997,148.0,146.0,81.0,134.0,160.0,0.8864000000000001,133.8,0.517,0.10284005979073244,0.1118231046931408,138.0,0.3448298275910331,2.0,1.0,0.0,supplied_demand_deficit
-0.34326955321534536,0.14017691898144713,-0.8753567383929579,-0.6450565563137042,5.751,1.349,0.0,0.4,2.2,2.8361767504100257,0.7243555026620594,0.9460968772933633,0.4914159879860668,0.9657048816484853,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.967,0.957,1.002,0.628,0.804,0.03300000000000003,0.04300000000000004,0.0020000000000000018,0.372,0.19599999999999995,155.0,141.0,157.0,93.0,118.0,0.8716000000000002,132.8,0.628,0.09939759036144578,0.08361633776961909,138.0,0.5009649417258637,3.0,1.0,0.0,supplied_demand_deficit
-0.6442393589555473,0.12310546210158502,-0.6436902687113528,-0.59677771610077,5.751,1.349,0.0,0.4,2.2,2.640546376678895,0.7354519496339698,0.7844172250284096,0.7184276078556051,1.0849068408031213,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.9,0.972,0.831,0.919,0.903,0.09999999999999998,0.028000000000000025,0.16900000000000004,0.08099999999999996,0.09699999999999998,144.0,143.0,130.0,136.0,132.0,0.905,137.0,0.831,0.022773722627737226,0.026607734806629837,138.0,0.5019532014673138,3.0,0.0,0.0,supplied_demand_deficit
