aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,chapala_flow,calderon_lared_flow,pozos_flow,toluquilla_flow,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Pozos,delivered_Toluquilla,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,average_supply_percapita,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,ZAs_below_128,experiment
-0.9388200339328929,-0.5424755574590947,0.8905413911078446,-0.09857254238851643,6.049146078163336,2.566454672391853,2.705693800641424,0.1040749939089796,4.899808323312302,1.1493377548510337,2.566454672391853,2.705693800641424,0.1040749939089796,2.933,0.757,0.944,0.782,1.201,1.996269013612832,1.0473837851558614,0.9717010269757498,0.9996803185032358,2.0147108136978367,7.029744957945516,0.681,1.384,1.029,1.278,1.678,0.31899999999999995,0.3839999999999999,0.028999999999999915,0.278,0.6779999999999999,109.0,203.0,161.0,189.0,246.0,1.21,181.6,0.681,0.13920704845814977,0.15530578512396692,163.0,0.6176023812220872,1.0,0.0,0.0,1.0,ZAs_below_142-1000scenarios-1000nfe epsilon0.8-restricted
-0.9638140327190565,-0.34930869024800737,0.7432430148471103,-0.10032173036521885,5.769992066874539,0.8699290334205259,1.6465539558322797,0.052168150203122,4.673693574168377,1.0962984927061625,0.8699290334205259,1.6465539558322797,0.052168150203122,2.933,0.757,0.944,0.782,1.201,1.8597389124472226,0.88976308750208,0.029765506649077712,0.9532405766237754,1.3831199399949798,5.115628023217136,0.634,1.175,0.032,1.219,1.152,0.366,0.17500000000000004,0.968,0.21900000000000008,0.1519999999999999,102.0,173.0,5.0,180.0,169.0,0.8424000000000001,125.8,0.032,0.26772655007949125,0.2768281101614435,119.0,0.5391718670448482,2.0,1.0,1.0,2.0,ZAs_below_142-1000scenarios-1000nfe epsilon0.8-restricted
-0.9885817410992142,-0.46144104511715756,0.09599261893249778,-0.04288371853977313,5.622035130779647,0.1489364626381746,2.8688467827697037,0.2797967363790242,4.553848455931514,1.068186674848133,0.1489364626381746,2.8688467827697037,0.2797967363790242,2.933,0.757,0.944,0.782,1.201,1.779887092902839,0.9456555242718488,0.10065029179256209,1.1514720169740351,1.544774938221216,5.522439864162501,0.607,1.249,0.107,1.472,1.286,0.393,0.2490000000000001,0.893,0.472,0.28600000000000003,97.0,183.0,17.0,217.0,188.0,0.9442,140.4,0.107,0.2797720797720798,0.28883711078161406,128.0,0.3972247809221606,2.0,2.0,1.0,2.0,ZAs_below_142-1000scenarios-1000nfe epsilon0.8-restricted
0.37422036430731476,0.8643749437872545,-0.31230037041836045,-0.11760679753353642,5.588388050731357,0.4036076737455347,0.7320859753098481,0.0403832953767729,4.526594321092399,1.061793729638958,0.4036076737455347,0.7320859753098481,0.0403832953767729,2.933,0.757,0.944,0.782,1.201,2.651210351848067,0.08001059610503457,1.1039909698031058,0.04260031658977657,0.24461676710695737,4.122429001452941,0.904,0.106,1.169,0.054,0.204,0.09599999999999997,0.894,0.16900000000000004,0.946,0.796,145.0,16.0,183.0,8.0,30.0,0.48740000000000006,76.4,0.054,0.5015706806282723,0.4970045137464095,96.0,0.41712561901161654,3.0,3.0,3.0,3.0,ZAs_below_142-1000scenarios-1000nfe epsilon0.8-restricted
-0.9408500720661859,0.041876835226290376,-0.21348981007154788,-0.5103064795377418,3.8378389430307807,0.9854629472441828,2.387142145242186,0.363201289286058,3.1086495438549324,0.7291893991758484,0.9854629472441828,2.387142145242186,0.363201289286058,2.933,0.757,0.944,0.782,1.201,1.042124664506049,0.41357504890471153,1.0720291499341876,0.755942800316296,1.4032119027908143,4.6868835664520585,0.355,0.546,1.136,0.967,1.168,0.645,0.45399999999999996,0.1359999999999999,0.03300000000000003,0.16799999999999993,57.0,80.0,177.0,143.0,171.0,0.8343999999999999,125.6,0.355,0.21082802547770702,0.21246404602109298,108.0,0.42663079922544145,2.0,2.0,0.0,2.0,ZAs_below_142-1000scenarios-1000nfe epsilon0.8-restricted
-0.8109915741434797,0.07695759147568859,0.24697890559501023,-0.38754753521727436,7.532563853219557,1.3056595821654344,1.799180770094616,0.0194210589514198,6.101376721107841,1.4311871321117158,1.3056595821654344,1.799180770094616,0.0194210589514198,2.933,0.757,0.944,0.782,1.201,2.7185438373672652,0.8151301869023346,0.9126508633537461,0.7529618727985594,1.3246268369659553,6.523913597387861,0.927,1.077,0.967,0.963,1.103,0.07299999999999995,0.07699999999999996,0.03300000000000003,0.03700000000000003,0.10299999999999998,149.0,158.0,151.0,142.0,162.0,1.0074,152.4,0.927,0.025721784776902887,0.037006154457018055,151.0,0.3806189016078632,0.0,0.0,0.0,0.0,ZAs_below_142-1000scenarios-1000nfe epsilon0.8-restricted
-0.4898619485211566,-0.7312715117751976,0.6948674738744653,-0.23622538102338597,5.34173607269497,2.937505001080704,1.5770401097079736,0.9171004577412216,4.326806218882926,1.0149298538120444,2.937505001080704,1.5770401097079736,0.9171004577412216,2.933,0.757,0.944,0.782,1.201,1.98327756965821,1.0888515792832594,1.0537466467430412,1.0536190401220906,1.404769691305546,6.584264527112148,0.676,1.438,1.116,1.347,1.17,0.32399999999999995,0.43799999999999994,0.1160000000000001,0.347,0.16999999999999993,108.0,211.0,174.0,199.0,171.0,1.1494,172.6,0.676,0.10845886442641947,0.12215068731512091,152.0,0.5380565787985514,1.0,0.0,0.0,1.0,ZAs_below_142-1000scenarios-1000nfe epsilon0.8-restricted
-0.20259967362602546,0.08114686985652453,-0.08580140285415436,-0.5461346416742494,0.5831978945123546,0.8257494128110983,1.9467580790594516,0.7461203044504288,0.47239029455500725,0.11080759995734737,0.8257494128110983,1.9467580790594516,0.7461203044504288,2.933,0.757,0.944,0.782,1.201,0.1196029532345651,0.014237728767475536,0.8607604475839788,0.28730704180373173,1.2862229513162038,2.568131122705955,0.041,0.019,0.912,0.367,1.071,0.959,0.981,0.08799999999999997,0.633,0.07099999999999995,7.0,3.0,142.0,54.0,157.0,0.48200000000000004,72.6,0.019,0.4881542699724518,0.4937759336099585,59.0,0.22892064700273845,3.0,3.0,2.0,3.0,ZAs_below_142-1000scenarios-1000nfe epsilon0.8-restricted
-0.5382669169180314,-0.12422481269885588,-0.008375517236298702,-0.7669155497424274,7.482687098503743,2.0276773150981637,1.6601325222680647,0.7651979167469593,6.060976549788032,1.4217105487157113,2.0276773150981637,1.6601325222680647,0.7651979167469593,2.933,0.757,0.944,0.782,1.201,2.8743235894285206,0.9401701549529038,1.3662461228210263,0.7751854910487881,1.3347382099188922,7.290663568170132,0.98,1.242,1.447,0.991,1.111,0.020000000000000018,0.242,0.44700000000000006,0.009000000000000008,0.11099999999999999,157.0,182.0,226.0,146.0,163.0,1.1542,174.8,0.98,0.08466819221967964,0.08213481199098943,169.0,0.35944569914890334,0.0,0.0,0.0,0.0,ZAs_below_142-1000scenarios-1000nfe epsilon0.8-restricted
-0.16663223540318017,-0.49160544832146735,-0.9734832967882747,-0.43071703071690726,6.455027254883061,0.3322416840102035,3.000053274720546,0.8384721436484676,5.228572076455279,1.2264551784277815,0.3322416840102035,3.000053274720546,0.8384721436484676,2.933,0.757,0.944,0.782,1.201,2.6730802487790832,1.0609356967685477,0.9040676252012639,0.7534826048790091,1.168228937336928,6.5597951129648315,0.911,1.402,0.958,0.964,0.973,0.08899999999999997,0.4019999999999999,0.04200000000000004,0.03600000000000003,0.027000000000000024,146.0,206.0,150.0,142.0,142.0,1.0415999999999999,157.2,0.911,0.06921119592875317,0.07657450076804914,152.0,0.5156095028074574,0.0,0.0,0.0,0.0,ZAs_below_142-1000scenarios-1000nfe epsilon0.8-restricted
