,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,chapala_flow,calderon_flow,zapotillo_flow,pozos_flow,toluquilla_flow,scenario,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,min_supplied_demand,supplied_demand_GINI,ZAs_below_128,ZAs_below_100,ZAs_below_50,scenario,experiment
0,-0.3651742233463353,0.32533623453800997,-0.0635075323132519,-0.8659195786130992,4.252349680641404,0.9603066298329358,0.3293536600418003,0.3047869769122122,0.861636143732616,113504.0,3.4444032413195376,0.8079464393218668,1.289660289874736,0.861636143732616,0.3047869769122122,1.5949215030772232,0.276935070120362,1.0719704006811859,0.4491938097881479,0.6760948273893923,2.93292,0.75717,0.94351,0.78229,1.20143,0.5438,0.36575,1.13615,0.5742,0.56274,0.45620000000000005,0.63425,0.13615,0.42579999999999996,0.43726,87.0,54.0,177.0,85.0,82.0,0.36575,0.1974712817032401,4.0,4.0,0.0,113504.0,ZAs_below_50  - 10 scenarios - 1000nfe epsilon 10 - pozos to toluquilla 0
1,0.026440544556338763,-0.01676189360014302,-0.006459985471664043,-0.022344408616576494,2.1274107326044462,0.5756653954748597,0.8653252440290362,1.394283417240927,0.3461333542430847,172599.0,1.7232026934096016,0.40420803919484477,1.4409906395038958,0.3461333542430847,1.394283417240927,0.9338612587477918,0.2552389905333766,1.045639445537914,0.3206542008816143,0.7172265675853432,2.93292,0.75717,0.94351,0.78229,1.20143,0.31841,0.3371,1.10824,0.40989,0.59698,0.6815899999999999,0.6629,0.10823999999999989,0.59011,0.40302000000000004,51.0,50.0,173.0,61.0,87.0,0.31841,0.26557810165233775,4.0,4.0,0.0,172599.0,ZAs_below_50  - 10 scenarios - 1000nfe epsilon 10 - pozos to toluquilla 0
2,-0.5979352015536537,0.30765710939770874,-0.1417907970756569,-0.6269600489214666,5.825276192876982,0.8201162919273862,0.3810421529392979,0.5570904095968308,0.9263411292095728,142217.0,4.718473716230355,1.1068024766466265,1.201158444866684,0.9263411292095728,0.5570904095968308,2.121381397076025,0.46908497602437493,1.0906631723771862,0.8906273205182171,0.5978048513653695,2.93292,0.75717,0.94351,0.78229,1.20143,0.7233,0.61952,1.15596,1.13849,0.49758,0.27669999999999995,0.38048000000000004,0.1559600000000001,0.13849,0.50242,116.0,91.0,181.0,168.0,73.0,0.49758,0.177586127670895,3.0,2.0,0.0,142217.0,ZAs_below_50  - 10 scenarios - 1000nfe epsilon 10 - pozos to toluquilla 0
3,-0.7648628685960157,-0.988229131808875,-0.3786375399753459,-0.28927622987540047,5.887936592268867,0.6744270969480932,0.6583935599710394,1.084133967643649,0.0451839080990559,197650.0,4.769228639737782,1.1187079525310846,1.3328206569191328,0.0451839080990559,1.084133967643649,2.0398780026075003,1.3186078929808094,0.5503929682094961,0.6964985747202254,0.4915710700303655,2.93292,0.75717,0.94351,0.78229,1.20143,0.69551,1.7415,0.58335,0.89033,0.40915,0.30449000000000004,0.7415,0.41664999999999996,0.10967000000000005,0.59085,111.0,256.0,91.0,132.0,60.0,0.40915,0.27516574687951406,3.0,2.0,0.0,197650.0,ZAs_below_50  - 10 scenarios - 1000nfe epsilon 10 - pozos to toluquilla 0
4,-0.21256667140311047,-0.4415495615949876,0.6545450395385686,-0.0019823287494757924,6.35044281088473,1.1698774447460307,0.7040513873064732,1.0324033988301249,0.3293239241095941,199120.0,5.143858676816632,1.2065841340680987,1.873928832052504,0.3293239241095941,1.0324033988301249,2.5981587253073535,1.0163873240809076,0.5545409300868434,0.7225128874501823,0.9501713125941021,2.93292,0.75717,0.94351,0.78229,1.20143,0.88586,1.34235,0.58774,0.92359,0.79087,0.11414000000000002,0.34234999999999993,0.41225999999999996,0.07640999999999998,0.20913000000000004,142.0,197.0,92.0,136.0,116.0,0.58774,0.1449705435048925,2.0,1.0,0.0,199120.0,ZAs_below_50  - 10 scenarios - 1000nfe epsilon 10 - pozos to toluquilla 0
5,-0.09701043806160392,0.7590438929087269,-0.19692787938521739,-0.7872414933178142,7.315311168105457,0.4814529806657858,0.4038160877915831,0.3897448540741844,0.5374444091208287,113165.0,5.925402046165421,1.3899091219400368,0.885269068457369,0.5374444091208287,0.3897448540741844,3.0890200877381147,0.3468215338220797,1.2071936349031873,0.3111303069288083,0.5813044900717995,2.93292,0.75717,0.94351,0.78229,1.20143,1.05322,0.45805,1.27947,0.39772,0.48384,0.053220000000000045,0.5419499999999999,0.2794700000000001,0.6022799999999999,0.51616,169.0,67.0,200.0,59.0,71.0,0.39772,0.25691474008114806,3.0,3.0,0.0,113165.0,ZAs_below_50  - 10 scenarios - 1000nfe epsilon 10 - pozos to toluquilla 0
6,-0.028254182900627256,-0.02744227445695488,0.6031567299475016,-0.09958077429028628,2.66698914416373,1.0874181643067111,0.4400086594337586,0.078430606953488,0.2671154938424157,156244.0,2.1602612067726215,0.5067279373911087,1.5274268237404698,0.2671154938424157,0.078430606953488,1.130807332669356,0.3241545165499458,0.5236361409921707,0.2728339774541432,0.4965436954799806,2.93292,0.75717,0.94351,0.78229,1.20143,0.38556,0.42811,0.55499,0.34876,0.41329,0.61444,0.57189,0.44501,0.65124,0.5867100000000001,62.0,63.0,87.0,52.0,61.0,0.34876,0.08541941418588168,5.0,5.0,0.0,156244.0,ZAs_below_50  - 10 scenarios - 1000nfe epsilon 10 - pozos to toluquilla 0
7,-0.4907416501764543,-0.6624210789176392,0.7419340888342825,-0.804108210072412,6.752624382032107,1.2875557379347822,0.8394786073528642,1.882538889365616,0.4899595861153808,172729.0,5.469625749446007,1.2829986325861005,2.1270343452876466,0.4899595861153808,1.882538889365616,2.5906400410606025,1.2061463746947632,0.6176914583051633,0.5137319633009416,1.9593747111977189,2.93292,0.75717,0.94351,0.78229,1.20143,0.8833,1.59297,0.65467,0.6567,1.63087,0.11670000000000003,0.59297,0.34533,0.34330000000000005,0.63087,142.0,234.0,102.0,97.0,239.0,0.65467,0.2132446004528921,2.0,1.0,0.0,172729.0,ZAs_below_50  - 10 scenarios - 1000nfe epsilon 10 - pozos to toluquilla 0
8,-0.8664670092309328,-0.3192600297960404,0.49663372786163795,-0.197235379184048,1.3546298287575391,1.2798249456096065,0.995766474692366,2.4521396820152703,0.0016408099276777,110979.0,1.0972501612936068,0.2573796674639324,2.2755914203019723,0.0016408099276777,2.4521396820152703,0.020489639801640636,0.3631050283493734,1.1640422297570365,0.5474647716981931,1.6942497383614379,2.93292,0.75717,0.94351,0.78229,1.20143,0.00699,0.47956,1.23374,0.69982,1.41019,0.99301,0.52044,0.23374000000000006,0.30018,0.41019000000000005,1.0,70.0,193.0,103.0,207.0,0.00699,0.37183301569067695,3.0,2.0,1.0,110979.0,ZAs_below_50  - 10 scenarios - 1000nfe epsilon 10 - pozos to toluquilla 0
9,-0.3953850702910282,-0.4004694561260016,0.4562486284554732,-0.8572127719348908,3.4953067311482564,0.3247263259000624,0.6609938228086122,2.156297603671949,0.7158961267377555,111794.0,2.8311984522300877,0.6641082789181687,0.9857201487086746,0.7158961267377555,2.156297603671949,1.249084032959149,0.661758601087934,0.31931976339378854,0.3659782071169683,1.9469927953154145,2.93292,0.75717,0.94351,0.78229,1.20143,0.42588,0.87399,0.33844,0.46783,1.62056,0.57412,0.12600999999999996,0.6615599999999999,0.53217,0.62056,68.0,128.0,53.0,69.0,237.0,0.33844,0.3233262672069122,3.0,3.0,0.0,111794.0,ZAs_below_50  - 10 scenarios - 1000nfe epsilon 10 - pozos to toluquilla 0
