,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,chapala_flow,calderon_flow,zapotillo_flow,pozos_flow,toluquilla_flow,scenario,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,min_supplied_demand,supplied_demand_GINI,ZAs_below_128,ZAs_below_100,ZAs_below_50,scenario,experiment
0,0.08552301023104225,0.3316577786731605,0.596318117142806,-0.5181726758489934,4.252349680641404,0.9603066298329358,0.3293536600418003,0.3047869769122122,0.861636143732616,113504.0,3.4444032413195376,0.8079464393218668,1.289660289874736,0.861636143732616,0.3047869769122122,1.8878747049025189,0.27282606643251417,0.647192732222596,0.38227609475952123,0.8789460127391612,4.069115611056311,2.93292,0.75717,0.94351,0.78229,1.20143,0.64368,0.36032,0.68594,0.48866,0.73158,0.35631999999999997,0.63968,0.31406,0.51134,0.26842,103.0,53.0,107.0,72.0,107.0,0.36032,0.1291741404311761,5.0,2.0,0.0,113504.0,ZAs_below_50  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
1,0.06236796128673319,-0.562929001935321,-0.030044421232506835,-0.042071274210510046,2.1274107326044462,0.5756653954748597,0.8653252440290362,1.394283417240927,0.3461333542430847,172599.0,1.7232026934096016,0.40420803919484477,1.4409906395038958,0.3461333542430847,1.394283417240927,0.9572140796225482,0.6102476109512422,0.7059607083645962,0.2844789173708011,0.7147191469768521,3.2726204632860396,2.93292,0.75717,0.94351,0.78229,1.20143,0.32637,0.80596,0.74823,0.36365,0.59489,0.67363,0.19404,0.25177000000000005,0.63635,0.40510999999999997,52.0,118.0,117.0,54.0,87.0,0.32637,0.18932196822936845,5.0,3.0,0.0,172599.0,ZAs_below_50  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
2,0.49080781165231846,0.6229863650920464,0.5753922561837939,-0.3559970016987575,5.825276192876982,0.8201162919273862,0.3810421529392979,0.5570904095968308,0.9263411292095728,142217.0,4.718473716230355,1.1068024766466265,1.201158444866684,0.9263411292095728,0.5570904095968308,2.8290643556599067,0.26412095982305545,0.8294582039598627,0.3590703426290962,0.8878478552892516,5.169561717361173,2.93292,0.75717,0.94351,0.78229,1.20143,0.96459,0.34883,0.87912,0.459,0.73899,0.03541000000000005,0.65117,0.12087999999999999,0.5409999999999999,0.26100999999999996,155.0,51.0,137.0,68.0,108.0,0.34883,0.1948533120190649,3.0,2.0,0.0,142217.0,ZAs_below_50  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
3,-0.33149827120777253,0.11817604445467178,0.3335857385503629,-0.29892767949047494,5.887936592268867,0.6744270969480932,0.6583935599710394,1.084133967643649,0.0451839080990559,197650.0,4.769228639737782,1.1187079525310846,1.3328206569191328,0.0451839080990559,1.084133967643649,2.321564990909858,0.5994445284095039,0.8066112017390908,0.4085381441680689,0.9607896433218747,5.0969485085483965,2.93292,0.75717,0.94351,0.78229,1.20143,0.79155,0.79169,0.8549,0.52223,0.79971,0.20845000000000002,0.20831,0.1451,0.47777000000000003,0.20028999999999997,127.0,116.0,134.0,77.0,117.0,0.52223,0.07164741175719665,4.0,1.0,0.0,197650.0,ZAs_below_50  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
4,-0.7231701066852865,-0.9248487522881437,-0.40775509310377633,-0.6758908468083565,6.35044281088473,1.1698774447460307,0.7040513873064732,1.0324033988301249,0.3293239241095941,199120.0,5.143858676816632,1.2065841340680987,1.873928832052504,0.3293239241095941,1.0324033988301249,2.2662664923739393,1.330531798031459,0.9308915423538161,0.6163645836453242,0.6977167631148504,5.841771179519388,2.93292,0.75717,0.94351,0.78229,1.20143,0.7727,1.75724,0.98663,0.7879,0.58074,0.22729999999999995,0.7572399999999999,0.013369999999999993,0.21209999999999996,0.41925999999999997,124.0,258.0,154.0,116.0,85.0,0.58074,0.21017970568307195,3.0,1.0,0.0,199120.0,ZAs_below_50  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
5,0.2663958988131423,0.6322920845720892,0.4099641203486575,-0.48124168107681464,7.315311168105457,0.4814529806657858,0.4038160877915831,0.3897448540741844,0.5374444091208287,113165.0,5.925402046165421,1.3899091219400368,0.885269068457369,0.5374444091208287,0.3897448540741844,3.3252342067067,0.42921020924089415,0.7303251596573542,0.27381606591687296,0.7768844119421685,5.53547005346399,2.93292,0.75717,0.94351,0.78229,1.20143,1.13376,0.56686,0.77405,0.35002,0.64663,0.1337600000000001,0.43313999999999997,0.22594999999999998,0.64998,0.35336999999999996,182.0,83.0,121.0,52.0,95.0,0.35002,0.20449512001198397,4.0,3.0,0.0,113165.0,ZAs_below_50  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
6,-0.31786557058001064,-0.061947037647000824,0.6556699456714588,-0.23637319126016576,2.66698914416373,1.0874181643067111,0.4400086594337586,0.078430606953488,0.2671154938424157,156244.0,2.1602612067726215,0.5067279373911087,1.5274268237404698,0.2671154938424157,0.078430606953488,0.9425599306777569,0.3465826126234758,0.46707445469806863,0.3721663084153207,0.6195923567309743,2.7479756631455965,2.93292,0.75717,0.94351,0.78229,1.20143,0.32137,0.45773,0.49504,0.47574,0.51571,0.6786300000000001,0.54227,0.5049600000000001,0.52426,0.48429,52.0,67.0,77.0,70.0,76.0,0.32137,0.07521043083700052,5.0,5.0,0.0,156244.0,ZAs_below_50  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
7,-0.002940629568975117,-0.8137337474537136,0.010215439826608108,-0.44846579673728815,6.752624382032107,1.2875557379347822,0.8394786073528642,1.882538889365616,0.4899595861153808,172729.0,5.469625749446007,1.2829986325861005,2.1270343452876466,0.4899595861153808,1.882538889365616,2.9077107044554635,1.3044996092432115,0.9949553456117033,0.4278288685739106,1.2525900206749,6.88758454855919,2.93292,0.75717,0.94351,0.78229,1.20143,0.9914,1.72286,1.05453,0.54689,1.04258,0.008600000000000052,0.7228600000000001,0.05452999999999997,0.45311,0.04258000000000006,159.0,253.0,165.0,81.0,153.0,0.54689,0.18028763068608095,1.0,1.0,0.0,172729.0,ZAs_below_50  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
8,-0.779320692587061,-0.5557312186852545,0.23963040601941055,-0.11413642264403445,1.3546298287575391,1.2798249456096065,0.995766474692366,2.4521396820152703,0.0016408099276777,110979.0,1.0972501612936068,0.2573796674639324,2.2755914203019723,0.0016408099276777,2.4521396820152703,0.07713474562015726,0.5168113011273626,1.1773881161764952,0.5448339876306852,1.4731832574129813,3.7893514079676818,2.93292,0.75717,0.94351,0.78229,1.20143,0.0263,0.68256,1.24788,0.69646,1.22619,0.9737,0.31744000000000006,0.2478800000000001,0.30354000000000003,0.2261899999999999,4.0,100.0,195.0,103.0,180.0,0.0263,0.3079649120093623,3.0,1.0,1.0,110979.0,ZAs_below_50  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
9,-0.41765828075574074,0.15643747900735194,0.37781836772543387,-0.5399203055080299,3.4953067311482564,0.3247263259000624,0.6609938228086122,2.156297603671949,0.7158961267377555,111794.0,2.8311984522300877,0.6641082789181687,0.9857201487086746,0.7158961267377555,2.156297603671949,1.2346064461570858,0.2997690932512542,0.732288940704994,0.586695897096491,1.6897730226634293,4.543133399873255,2.93292,0.75717,0.94351,0.78229,1.20143,0.42095,0.39591,0.77613,0.74997,1.40647,0.5790500000000001,0.60409,0.22387,0.25003,0.4064700000000001,67.0,58.0,121.0,111.0,206.0,0.39591,0.2535105336011075,4.0,2.0,0.0,111794.0,ZAs_below_50  - 1000 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
