,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,aqp4_Toluquilla_to_PP1,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos
2834,-0.33555870408634436,-0.2895475772919229,-0.4780969230591806,-0.3968889407477349,0.5664100000000001,0.17344000000000004,0.88014,0.62801,0.43379
2835,-0.4950395547529398,-0.48777366379503406,-0.2617941442376438,-0.2749561446676686,0.53939,0.03652999999999995,0.85344,0.5496,0.65806
2836,-0.012980646157738793,-0.2073206837551156,0.5648635166829725,0.3747716335006218,0.3954,0.45036,0.71455,0.40259,0.95357
2837,0.28025459503047434,0.01346682283850481,0.5871787948901985,-0.001004870238733982,0.47868,0.70209,0.66464,0.07182,0.84619
2838,0.0788065965363848,-0.38048344946463586,-0.9197604382009562,-0.9946008916034069,0.69888,0.52915,0.53203,0.49834999999999996,0.24404000000000003
2839,0.40651325161666996,-0.7434387084138027,0.008779607640048037,0.24704223773074796,0.42369999999999997,0.81048,0.05622000000000005,0.75851,0.94277
2840,-0.33555870408634436,-0.2895475772919229,-0.649746745358938,-0.2817258290969383,0.54089,0.17344000000000004,0.88014,0.86632,0.34092999999999996
2841,-0.1696559722664602,-0.6012549402005427,-0.16736565797156266,0.24261805729975472,0.42469,0.31586000000000003,0.5510999999999999,0.90119,0.7705500000000001
2842,0.40651325161666996,-0.7158078891716266,-0.06832357450134585,0.09220003413815614,0.45802,0.81048,0.07525000000000004,0.69391,0.88611
2843,-0.3485988102766028,-0.8599378245599132,-0.26650445839811593,0.0561599872036591,0.46601000000000004,0.16224000000000005,0.49617,0.82864,0.85686
2844,0.43721628918567523,-0.7613217047058536,-0.6815671028168255,-0.7678276291596383,0.64862,0.83683,0.022750000000000048,0.48885999999999996,0.5789500000000001
2845,-0.5373448184436177,-0.3175434024748367,-0.21774974859794816,0.18654768860700321,0.43711,0.00021000000000004349,0.99986,0.89646,0.58979
