,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,min_supplied_demand,min_deficit_sq,GINI_supplied_demand
18,-0.9764296429766421,0.05390879285779121,0.014907463706852364,-0.47774874526852057,2.338445172065183,0.7574587846424358,1.5333508639481102,1.061718643510279,1.4863265358339923,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.79731,1.00038,1.62516,1.35719,1.23713,0.20269000000000004,0.00038000000000004697,0.6251599999999999,0.3571899999999999,0.23713000000000006,128.0,147.0,254.0,201.0,181.0,0.79731,0.0,0.13378448672714913
19,-0.03382646817534418,-0.152751246338938,-0.44077145278913066,-0.30468938147063085,2.951137235686027,0.8917878101203097,1.6952131341926253,0.5615151663580636,1.077646653642975,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,1.00621,1.17779,1.79671,0.71778,0.89697,0.006210000000000049,0.1777899999999999,0.79671,0.28222,0.10302999999999995,161.0,173.0,281.0,106.0,131.0,0.71778,0.00033,0.17433276263256284
20,0.22867457410657432,0.5064158229003828,-0.4730255026490918,-0.09545485884650548,3.121762913169274,0.4633292151147512,2.1446368616071583,0.526891928580498,0.9206790815283188,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,1.06439,0.61192,2.27304,0.67353,0.76632,0.06438999999999995,0.38808,1.27304,0.32647000000000004,0.23368,171.0,90.0,355.0,100.0,112.0,0.61192,0.03566,0.27559563571587625
21,-0.943235228486067,-0.6021238853162236,-0.5313259347920039,-0.8429447550033384,2.360021541484057,1.1838800254555455,1.4619813321592572,0.8027648677637735,1.3686522331373672,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.80467,1.56356,1.54951,1.02617,1.13919,0.19533,0.5635600000000001,0.5495099999999999,0.026170000000000027,0.13918999999999992,129.0,230.0,242.0,152.0,167.0,0.80467,0.00042,0.1342157781394355
22,0.0921094122924613,0.5521881786725968,-0.4346708675248443,-0.30221877610939485,3.0329955579901005,0.4335771838628121,2.1494583800283364,0.48126273753879345,1.0800061405799577,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,1.03412,0.57263,2.27815,0.6152,0.89893,0.03411999999999993,0.42737,1.2781500000000001,0.38480000000000003,0.10107,166.0,84.0,356.0,91.0,132.0,0.57263,0.01002,0.28375171095548646
23,-0.2191920443372526,0.4923376346002935,-0.2613737293773763,-0.2432986264346495,2.830649611180786,0.47248003750980927,1.9979123865854853,0.721906781636692,1.1543511830872275,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.96513,0.62401,2.11753,0.92281,0.96081,0.03486999999999996,0.37599000000000005,1.11753,0.07718999999999998,0.03918999999999995,155.0,92.0,331.0,136.0,141.0,0.62401,0.00222,0.21675870124805688
24,-0.12102569403409091,0.5087606730728429,0.2872025077201339,0.8560194055326498,2.894457738877841,0.46180506250265213,1.6520128074792606,1.3726553747183814,0.7963690164218646,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.98689,0.60991,1.75092,1.75466,0.66285,0.013109999999999955,0.39009000000000005,0.75092,0.7546600000000001,0.33714999999999995,158.0,90.0,273.0,259.0,97.0,0.60991,0.00148,0.2343406941266871
25,-0.0030233370960638384,0.6086198425453486,0.07542731376118539,0.6041592088867205,2.971159270887559,0.39689660234552343,1.854575143709706,1.1322447148888097,0.8224242681684021,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,1.01304,0.52418,1.96561,1.44735,0.68454,0.01303999999999994,0.47582,0.9656100000000001,0.4473499999999999,0.31545999999999996,162.0,77.0,307.0,214.0,100.0,0.52418,0.00146,0.2588004372888094
26,0.1403460607144511,0.44597076037501227,-0.12858023129137885,0.13352666851635142,3.0643493794643937,0.5026185057562421,1.8814581445831542,0.7331434550712351,0.9957305151249752,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,1.04481,0.66381,1.99411,0.93718,0.82879,0.044810000000000016,0.33619,0.99411,0.06281999999999999,0.17120999999999997,167.0,98.0,311.0,138.0,121.0,0.66381,0.00242,0.21040612942746906
27,-0.6811986117093771,-0.48101038610824687,-0.8107166333099596,-0.3899425411099182,2.5303453423889053,1.1051562509703605,1.7223090606811131,0.9268925058896482,0.892596840069973,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.86274,1.45959,1.82543,1.18485,0.74295,0.13726000000000005,0.45958999999999994,0.8254300000000001,0.18484999999999996,0.25705,138.0,214.0,285.0,175.0,109.0,0.74295,0.02091,0.18183081065778298
28,-0.2938560807486739,0.42032184866060085,0.22916183392616807,0.09561359434634803,2.782117987513362,0.5192902983706095,1.6322540095773812,0.9907313488117642,1.252906355726883,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.94858,0.68583,1.72998,1.26645,1.04285,0.05142000000000002,0.31416999999999995,0.7299800000000001,0.2664500000000001,0.042850000000000055,152.0,101.0,270.0,187.0,153.0,0.68583,0.00265,0.16963704396962118
