aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,chapala_flow,calderon_lared_flow,pozos_flow,toluquilla_flow,scenario,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,average_supply_percapita,ZAs_below_142,ZAs_below_100,ZAs_below_50,scenario,experiment
-0.4871617080818438,-0.013375823304669465,-0.0008121418573130423,-0.9790462965696921,9.073719117245004,2.566454672391853,3.8048819071520015,0.1561124908634695,143660.0,7.349712484968453,1.7240066322765506,2.566454672391853,0.1561124908634695,3.8048819071520015,3.5930979432506205,1.05085629435921,2.0378901044498536,0.35725662666245356,2.5649273274891113,9.604028296211249,2.93292,0.75717,0.94351,0.78229,1.20143,1.22509,1.38787,2.1599,0.45668,2.1349,0.22509,0.38786999999999994,1.1599,0.54332,1.1349,196.0,204.0,337.0,67.0,313.0,1.472888,223.4,0.45668,0.2352730528200537,0.234437377451646,223.0,1.0,1.0,0.0,143660.0,ZAs_below_50 - 10 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
-0.6823842248410859,0.9294830537326615,0.5500072094202204,-0.5543482167050972,8.654988100311808,0.8699290334205259,2.3154665003891437,0.078252225304683,187278.0,7.010540361252565,1.6444477390592436,0.8699290334205259,0.078252225304683,2.3154665003891437,3.2857773044252085,0.3899046733350827,1.0735420445563832,0.6691725377953934,1.8917725426787522,7.31016910279082,2.93292,0.75717,0.94351,0.78229,1.20143,1.12031,0.51495,1.13782,0.8554,1.5746,0.12030999999999992,0.48505,0.13782000000000005,0.14459999999999995,0.5746,180.0,76.0,178.0,126.0,231.0,1.040616,158.2,0.51495,0.184070796460177,0.18463832960477256,170.0,2.0,1.0,0.0,187278.0,ZAs_below_50 - 10 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
0.18788623733765464,0.7011998294660109,-0.3499477239021356,-0.6049674845271619,8.43305269616947,0.1489364626381746,4.034315788269895,0.4196951045685363,114317.0,6.830772683897272,1.6022800122721994,0.1489364626381746,0.4196951045685363,4.034315788269895,3.755823891195468,0.5127983782656375,1.2977390538291582,0.28630112723696616,2.2111609490591038,8.063823399586333,2.93292,0.75717,0.94351,0.78229,1.20143,1.28057,0.67726,1.37544,0.36598,1.84044,0.28057,0.32274,0.37544,0.63402,0.8404400000000001,205.0,99.0,215.0,54.0,270.0,1.107938,168.6,0.36598,0.26002372479240804,0.2633432556695411,187.0,2.0,2.0,0.0,114317.0,ZAs_below_50 - 10 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
-0.5724821566650939,-0.042852272235528455,-0.3150314355583188,-0.41347605346269634,8.382582076097036,0.4036076737455347,1.0294959027794737,0.0605749430651593,181932.0,6.789891481638599,1.5926905944584369,0.4036076737455347,0.0605749430651593,1.0294959027794737,3.239837270740158,0.9906354413032186,0.554731762300321,0.6458936949786444,0.5859434243470385,6.01704159366938,2.93292,0.75717,0.94351,0.78229,1.20143,1.10465,1.30834,0.58794,0.82564,0.48771,0.10464999999999991,0.30834000000000006,0.41206,0.17435999999999996,0.51229,177.0,192.0,92.0,122.0,71.0,0.8628560000000001,130.8,0.48771,0.2,0.20007695374430962,139.0,3.0,2.0,0.0,181932.0,ZAs_below_50 - 10 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
-0.05324909932446609,0.2676986902595482,0.6980261090728856,-0.2936111500591544,5.756758414546172,0.9854629472441828,3.356918641746824,0.544801933929087,195321.0,4.6629743157823995,1.0937840987637728,0.9854629472441828,0.544801933929087,3.356918641746824,2.4459039024627023,0.4871883390339944,0.7523989528075263,0.5549895352921497,2.346521969801466,6.587002699397838,2.93292,0.75717,0.94351,0.78229,1.20143,0.83395,0.64343,0.79745,0.70944,1.95311,0.16605000000000003,0.35657000000000005,0.20255,0.29056000000000004,0.9531099999999999,134.0,95.0,125.0,105.0,286.0,0.9874759999999998,149.0,0.64343,0.2206711409395973,0.22229360511040272,153.0,4.0,1.0,0.0,195321.0,ZAs_below_50 - 10 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
-0.9225305446884036,0.9019162900387199,-0.6805043891848612,-0.2769188799097544,11.298845779829335,1.3056595821654344,2.5300979579455536,0.0291315884271297,105405.0,9.152065081661762,2.1467806981675737,1.3056595821654344,0.0291315884271297,2.5300979579455536,4.268887686793328,0.7114833435171303,2.146757393447255,1.1340397017873582,1.0204290836495764,9.281597209194649,2.93292,0.75717,0.94351,0.78229,1.20143,1.45551,0.93966,2.27529,1.44964,0.84935,0.4555100000000001,0.06033999999999995,1.27529,0.44964000000000004,0.15064999999999995,233.0,138.0,355.0,214.0,124.0,1.3938900000000003,212.8,0.84935,0.2093984962406015,0.19328526641270113,215.0,2.0,0.0,0.0,105405.0,ZAs_below_50 - 10 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
0.5106365279111826,-0.4917521096440305,0.6943873293701674,-0.9198557980397192,8.012604109042456,2.937505001080704,2.2177126542768377,1.3756506866118323,133188.0,6.49020932832439,1.5223947807180667,2.937505001080704,1.3756506866118323,2.2177126542768377,3.7844454974377104,1.2399265162126911,1.2930337828500458,0.4013908773710166,2.173638348534783,8.892435022406247,2.93292,0.75717,0.94351,0.78229,1.20143,1.29033,1.63758,1.37045,0.5131,1.80921,0.29033,0.63758,0.37044999999999995,0.4869,0.80921,207.0,241.0,214.0,76.0,265.0,1.324134,200.6,0.5131,0.16430707876370887,0.17759350639738875,206.0,1.0,1.0,0.0,133188.0,ZAs_below_50 - 10 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
-0.3481805524956241,-0.8456376663302372,-0.32434799876884646,-0.270148724414334,0.8747968417685319,0.8257494128110983,2.7376285486773537,1.1191804566756431,163421.0,0.7085854418325109,0.16621139993602108,0.8257494128110983,1.1191804566756431,2.7376285486773537,0.15062175251506682,0.650139274375979,0.516218947457461,0.8142552333966006,1.3527481458489852,3.483983353594092,2.93292,0.75717,0.94351,0.78229,1.20143,0.05136,0.85864,0.54713,1.04086,1.12595,0.94864,0.14136000000000004,0.45287,0.040859999999999896,0.12595,8.0,126.0,85.0,154.0,165.0,0.724788,107.6,0.05136,0.28475836431226764,0.29171675027732247,80.0,3.0,2.0,1.0,163421.0,ZAs_below_50 - 10 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
0.7072672217714868,0.0030054449500642733,-0.352201382979731,-0.004665338109704376,11.224030647755615,2.0276773150981637,2.334561359439466,1.1477968751204388,172897.0,9.091464824682049,2.132565823073567,2.0276773150981637,1.1477968751204388,2.334561359439466,5.29601932228933,1.2871825008304294,1.7601083518583374,0.9209312031426798,0.957724180070292,10.221965558191068,2.93292,0.75717,0.94351,0.78229,1.20143,1.80572,1.69999,1.86549,1.17722,0.79715,0.80572,0.6999899999999999,0.8654900000000001,0.17721999999999993,0.20284999999999997,289.0,250.0,291.0,174.0,117.0,1.469114,224.2,0.79715,0.16520963425512936,0.15057674217249306,237.0,1.0,0.0,0.0,172897.0,ZAs_below_50 - 10 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
-0.5536603281693704,0.6751091978891746,-0.631003582505919,-0.10416433079746057,9.682540882324592,0.3322416840102035,4.218824917575768,1.2577082154727013,109507.0,7.84285811468292,1.8396827676416725,0.3322416840102035,1.2577082154727013,4.218824917575768,3.812207589376635,0.6732672544114274,1.5982606445258287,1.6762226661125732,1.7964987196004165,9.556456874026882,2.93292,0.75717,0.94351,0.78229,1.20143,1.2998,0.88919,1.69395,2.14271,1.4953,0.29980000000000007,0.11080999999999996,0.6939500000000001,1.1427100000000001,0.4953000000000001,208.0,131.0,265.0,317.0,219.0,1.5041900000000001,228.0,0.88919,0.15052631578947367,0.15429912444571497,222.0,1.0,0.0,0.0,109507.0,ZAs_below_50 - 10 scenarios - 1000nfe epsilon 1 - pozos to toluquilla 0
