,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,min_supplied_demand,min_deficit_sq
19,-0.75662665956965,0.13497020925888958,0.1228383172705369,-0.7901823202620357,2.481317111279728,0.7047688639817218,1.515885729792429,0.7157648805499494,1.7595634143961723,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.84602,0.93079,1.60665,0.91496,1.46456,0.15398,0.06921,0.6066499999999999,0.08504,0.4645600000000001,136.0,137.0,251.0,135.0,215.0,0.84602,0.00275
20,-0.9804285761802205,-0.05962559389344281,0.049608661624916284,0.007808125641024871,2.335845865482857,0.8312561360307379,1.4369977339130664,1.3799299161838094,1.1932703483895293,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.79642,1.09785,1.52303,1.76396,0.99321,0.20357999999999998,0.09784999999999999,0.5230300000000001,0.76396,0.006789999999999963,128.0,161.0,238.0,261.0,145.0,0.79642,7e-05
21,-0.5084583953207427,-0.275923771603068,-0.9329590831575268,-0.6763490597255317,2.642626483041518,0.9718499515419943,1.935072952510398,0.6284471281368871,0.999303484769203,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.90102,1.28353,2.05093,0.80334,0.83176,0.09897999999999996,0.28353000000000006,1.0509300000000001,0.19665999999999995,0.16823999999999995,144.0,189.0,320.0,119.0,122.0,0.80334,0.02367
22,-0.1451861166519764,-0.20987465730540178,-0.26218134496001677,0.29400297781323737,2.8787534641762154,0.9289180272485112,1.5419993469754998,1.023048971402389,0.8045801901973847,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.98153,1.22683,1.63432,1.30776,0.66969,0.018469999999999986,0.2268300000000001,0.63432,0.30776000000000003,0.33031,157.0,180.0,255.0,193.0,98.0,0.66969,0.00293
23,-0.7822195000859085,-0.43234344912437606,-0.9383794679097364,-0.6763490597255317,2.46468176494416,1.0735227419308444,1.836923412210484,0.806391846234245,0.9957802346802668,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.84035,1.41781,1.9469,1.03081,0.82883,0.15964999999999996,0.41781,0.9469000000000001,0.030810000000000004,0.17117000000000004,135.0,208.0,304.0,152.0,121.0,0.82883,0.00058
24,0.08941372285013846,0.21698296214018598,-0.5440455850089883,-0.4069187248258157,3.0312433598525903,0.6514605746088792,2.002668555646963,0.41495996901062976,1.0769675408809378,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,1.03352,0.86039,2.12257,0.53044,0.8964,0.033519999999999994,0.13961,1.12257,0.46956,0.10360000000000003,166.0,126.0,331.0,78.0,131.0,0.53044,0.00967
25,-0.36053891237910385,0.2529862793241171,0.30360892770158854,0.03764147785555525,2.738774146953583,0.628058418439324,1.4750952785546436,0.9963933136525285,1.3389788423999214,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.9338,0.82948,1.56341,1.27369,1.11449,0.06620000000000004,0.17052,0.56341,0.27369,0.11448999999999998,150.0,122.0,244.0,188.0,163.0,0.82948,0.01667
26,0.16233962605667782,0.2104317784802672,0.2464830533612748,0.3144717356560707,3.078645196936841,0.6557188439878264,1.4845666713273449,0.8364619312396054,1.1219073565083826,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,1.04969,0.86601,1.57345,1.06925,0.93381,0.04969000000000001,0.13399000000000005,0.57345,0.06925000000000003,0.06618999999999997,168.0,127.0,246.0,158.0,137.0,0.86601,0.00293
27,0.40125996834319755,0.17466638701825388,-0.3559437184090552,0.0098327693106523,3.2339434194230785,0.6789663484381351,1.852896568527751,0.48314838062884563,0.92834528298219,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,1.10264,0.89672,1.96383,0.61761,0.7727,0.10264000000000006,0.10328000000000004,0.96383,0.38239,0.22729999999999995,177.0,132.0,307.0,91.0,113.0,0.61761,0.00612
28,-0.9697959391058522,0.3896889976418507,-0.9389854129779972,-0.2725887065951069,2.3427570795811965,0.5392016515327971,2.371638366902901,1.1907607611319846,0.7329421408511213,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.79878,0.71213,2.51363,1.52215,0.61006,0.20121999999999995,0.28786999999999996,1.51363,0.5221499999999999,0.38993999999999995,128.0,105.0,393.0,225.0,89.0,0.61006,0.04751
29,-0.4483884274591736,0.5356491701371038,0.6283004670772203,-0.14996933510562083,2.6816719621515377,0.4443275394108826,1.447776656988924,0.9315484700298092,1.6719753714188463,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.91434,0.58683,1.53446,1.1908,1.39165,0.08565999999999996,0.41317000000000004,0.5344599999999999,0.19080000000000008,0.39165000000000005,147.0,86.0,240.0,176.0,204.0,0.58683,0.02228
30,0.1512276116401634,0.3023896293888414,0.00427155473182661,-0.3635561393547071,3.0714223875661064,0.5959462408972531,1.7017767485270596,0.40296662185333415,1.405188001156247,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,1.04722,0.78707,1.80367,0.51511,1.1696,0.04722000000000004,0.21292999999999995,0.8036700000000001,0.48489000000000004,0.16959999999999997,168.0,116.0,282.0,76.0,171.0,0.51511,0.01918
