,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,min_supplied_demand,min_deficit_sq,supplied_demand_GINI,experiment,scenario
394,0.810729912,-0.613402964,-0.245504863,0.973213399,5.751,1.349,0,0.4,2.2,3.586276403,1.214182427,0.046866234,0.793191807,0.32323313,2.93292,0.75717,0.94351,0.78229,1.20143,1.22277,1.60358,0.04967,1.01394,0.26904,0.22277,0.60358,0.95033,0.01394,0.73096,196,236,8,150,39,0.04967,0.00012,0.390627555,gini minimization and supplied demand maximization - 5k nfe,2020_drought
395,-0.792556309,0.446750251,-0.779754673,-0.451117839,5.751,1.349,0,0.4,2.2,2.544140359,0.525082837,1.0832282,0.909512545,0.901786058,2.93292,0.75717,0.94351,0.78229,1.20143,0.86744,0.69348,1.14808,1.16263,0.75059,0.13256,0.30652,0.14808,0.16263,0.24941,139,102,179,172,110,0.69348,0.01619,0.115597267,gini minimization and supplied demand maximization - 5k nfe,2020_drought
396,0.782650771,-0.431841433,-0.763723352,0.698216253,5.751,1.349,0,0.4,2.2,3.568024961,1.096167432,0.501723247,0.632695103,0.165139257,2.93292,0.75717,0.94351,0.78229,1.20143,1.21654,1.44772,0.53176,0.80877,0.13745,0.21654,0.44772,0.46824,0.19123,0.86255,195,213,83,119,20,0.13745,0.02238,0.319181892,gini minimization and supplied demand maximization - 5k nfe,2020_drought
397,-0.389689236,-0.785789404,-0.739624606,0.624626063,5.751,1.349,0,0.4,2.2,2.806003957,1.326233613,0.255992881,1.346882484,0.228637065,2.93292,0.75717,0.94351,0.78229,1.20143,0.95673,1.75157,0.27132,1.72172,0.1903,0.04327,0.75157,0.72868,0.72172,0.8097,153,257,42,254,28,0.1903,0.01611,0.373939211,gini minimization and supplied demand maximization - 5k nfe,2020_drought
398,0.831195602,-0.887325294,-0.565708029,0.017105562,5.751,1.349,0,0.4,2.2,3.599579101,1.392231941,0.076948778,0.158419014,0.736571166,2.93292,0.75717,0.94351,0.78229,1.20143,1.2273,1.83873,0.08156,0.20251,0.61308,0.2273,0.83873,0.91844,0.79749,0.38692,197,270,13,30,90,0.08156,0.21609,0.458130087,gini minimization and supplied demand maximization - 5k nfe,2020_drought
399,-0.310063505,0.428729759,-0.721322014,0.741651323,5.751,1.349,0,0.4,2.2,2.857760681,0.536796157,1.033533652,1.371192178,0.164467331,2.93292,0.75717,0.94351,0.78229,1.20143,0.97437,0.70895,1.09541,1.75279,0.13689,0.02563,0.29105,0.09541,0.75279,0.86311,156,104,171,259,20,0.13689,0.00565,0.310020757,gini minimization and supplied demand maximization - 5k nfe,2020_drought
400,-0.933179509,-0.30671595,-0.305129572,0.459883914,5.751,1.349,0,0.4,2.2,2.452735279,1.014835868,0.284968854,1.593068765,0.618141234,2.93292,0.75717,0.94351,0.78229,1.20143,0.83628,1.3403,0.30203,2.03642,0.5145,0.16372,0.3403,0.69797,1.03642,0.4855,134,197,47,301,75,0.30203,0.06639,0.34154921,gini minimization and supplied demand maximization - 5k nfe,2020_drought
401,-0.457129128,0.81647011,-0.719726755,0.902202106,5.751,1.349,0,0.4,2.2,2.762168027,0.284764929,1.284527962,1.571142843,0.06114624,2.93292,0.75717,0.94351,0.78229,1.20143,0.94178,0.37609,1.36144,2.00839,0.05089,0.05822,0.62391,0.36144,1.00839,0.94911,151,55,213,297,7,0.05089,0.02916,0.413654695,gini minimization and supplied demand maximization - 5k nfe,2020_drought
402,-0.918446149,-0.618336301,-0.339760008,0.740333418,5.751,1.349,0,0.4,2.2,2.462311963,1.217389096,0.10492541,1.765784259,0.413339273,2.93292,0.75717,0.94351,0.78229,1.20143,0.83954,1.60781,0.11121,2.2572,0.34404,0.16046,0.60781,0.88879,1.2572,0.65596,135,236,17,334,50,0.11121,0.2118,0.430694988,gini minimization and supplied demand maximization - 5k nfe,2020_drought
403,0.677626547,0.865132257,0.463710389,-0.261290658,5.751,1.349,0,0.4,2.2,3.499759216,0.253134533,0.546924214,0.077281356,1.58665068,2.93292,0.75717,0.94351,0.78229,1.20143,1.19327,0.33432,0.57967,0.09879,1.32064,0.19327,0.66568,0.42033,0.90121,0.32064,191,49,91,15,193,0.09879,0.14839,0.374589204,gini minimization and supplied demand maximization - 5k nfe,2020_drought
404,0.365551682,0.087209233,-0.520610019,0.784998083,5.751,1.349,0,0.4,2.2,3.296910553,0.758784499,0.681082514,0.960217701,0.266754733,2.93292,0.75717,0.94351,0.78229,1.20143,1.12411,1.00213,0.72186,1.22744,0.22203,0.12411,0.00213,0.27814,0.22744,0.77797,180,147,113,181,33,0.22203,0,0.224598552,gini minimization and supplied demand maximization - 5k nfe,2020_drought
405,-0.520348991,0.902845141,-0.759289697,0.595127762,5.751,1.349,0,0.4,2.2,2.721075116,0.228621158,1.366387644,1.412637429,0.235028652,2.93292,0.75717,0.94351,0.78229,1.20143,0.92777,0.30194,1.4482,1.80577,0.19562,0.07223,0.69806,0.4482,0.80577,0.80438,149,44,226,267,29,0.19562,0.04488,0.373266087,gini minimization and supplied demand maximization - 5k nfe,2020_drought
406,-0.922135643,-0.231298686,-0.54518143,0.868611552,5.751,1.349,0,0.4,2.2,2.459913792,0.965814646,0.490023783,1.851563217,0.196434562,2.93292,0.75717,0.94351,0.78229,1.20143,0.83873,1.27556,0.51936,2.36685,0.1635,0.16127,0.27556,0.48064,1.36685,0.8365,134,187,81,350,24,0.1635,0.04353,0.399914795,gini minimization and supplied demand maximization - 5k nfe,2020_drought
407,-0.997497889,0.173219403,-0.342021634,0.99868323,5.751,1.349,0,0.4,2.2,2.410928332,0.702877888,0.620906674,1.985095268,0.243941838,2.93292,0.75717,0.94351,0.78229,1.20143,0.82202,0.9283,0.65808,2.53754,0.20304,0.17798,0.0717,0.34192,1.53754,0.79696,132,136,103,375,30,0.20304,0.00295,0.383704734,gini minimization and supplied demand maximization - 5k nfe,2020_drought
408,0.282843655,-0.768387197,-0.520272458,0.466014593,5.751,1.349,0,0.4,2.2,3.243150336,1.314922178,0.12472542,0.80663865,0.474313417,2.93292,0.75717,0.94351,0.78229,1.20143,1.10578,1.73663,0.13219,1.03112,0.39479,0.10578,0.73663,0.86781,0.03112,0.60521,177,255,21,152,58,0.13219,0.00059,0.356310519,gini minimization and supplied demand maximization - 5k nfe,2020_drought
409,-0.251420067,0.219134422,-0.09033775,0.449589388,5.751,1.349,0,0.4,2.2,2.895878917,0.673033126,0.487156912,1.143233686,0.76444736,2.93292,0.75717,0.94351,0.78229,1.20143,0.98737,0.88888,0.51632,1.46139,0.63628,0.01263,0.11112,0.48368,0.46139,0.36372,158,131,81,216,93,0.51632,0.00137,0.199653471,gini minimization and supplied demand maximization - 5k nfe,2020_drought
410,-0.157323915,0.300697128,-0.113870918,-0.592778988,5.751,1.349,0,0.4,2.2,2.957041415,0.620017367,0.55546923,0.404531743,1.426690245,2.93292,0.75717,0.94351,0.78229,1.20143,1.00822,0.81886,0.58873,0.51711,1.18749,0.00822,0.18114,0.41127,0.48289,0.18749,162,120,92,76,174,0.51711,0.00058,0.170881053,gini minimization and supplied demand maximization - 5k nfe,2020_drought
411,-0.466204273,0.82546689,-0.592144328,0.998859032,5.751,1.349,0,0.4,2.2,2.756269183,0.278917021,1.207447291,1.639868688,0.081247817,2.93292,0.75717,0.94351,0.78229,1.20143,0.93977,0.36837,1.27974,2.09624,0.06763,0.06023,0.63163,0.27974,1.09624,0.93237,151,54,200,310,10,0.06763,0.03121,0.418253486,gini minimization and supplied demand maximization - 5k nfe,2020_drought
412,0.627494805,0.942139396,0.505069945,-0.284627341,5.751,1.349,0,0.4,2.2,3.467173583,0.203079892,0.570095143,0.094698145,1.628703236,2.93292,0.75717,0.94351,0.78229,1.20143,1.18216,0.26821,0.60423,0.12105,1.35564,0.18216,0.73179,0.39577,0.87895,0.35564,189,39,94,18,199,0.12105,0.13944,0.383217464,gini minimization and supplied demand maximization - 5k nfe,2020_drought
