,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,chapala_flow,calderon_flow,zapotillo_flow,pozos_flow,toluquilla_flow,scenario,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,min_supplied_demand,supplied_demand_GINI,ZAs_below_128,ZAs_below_100,ZAs_below_50,scenario,experiment
0,-0.42663182769959707,0.31933566575111727,0.2282056704878075,-0.7565155152075681,7.285059718036686,0.7900515588004888,0.4499551241455906,0.5236792053812338,0.3567399982244639,200.0,5.900898371609716,1.3841613464269702,1.2400066829460794,0.3567399982244639,0.5236792053812338,2.8617312097567664,0.6291573511768772,0.8768968334616166,0.43608392959303205,0.9055741278302797,2.93292,0.75717,0.94351,0.78229,1.20143,0.97573,0.83093,0.9294,0.55745,0.75375,0.024270000000000014,0.16907000000000005,0.0706,0.44255,0.24624999999999997,156.0,122.0,145.0,82.0,110.0,0.55745,0.10003903875708504,3.0,1.0,0.0,200.0,Scenario discovery GINI opt- 1000 scenarios 1000nfe
1,-0.07803768599387229,-0.7053165527345522,-0.456693187702675,-0.14447419505230086,2.4321319977972804,0.05213731729472881,0.7935894140325379,2.396253178716403,0.8038591139430888,201.0,1.9700269182157972,0.4621050795814833,0.8457267313272667,0.8038591139430888,2.396253178716403,0.9972510235180585,0.7377982798844657,0.661149535049745,0.6168061474613057,1.0119580163864732,2.93292,0.75717,0.94351,0.78229,1.20143,0.34002,0.97442,0.70073,0.78846,0.84229,0.65998,0.025580000000000047,0.29927000000000004,0.21153999999999995,0.15771000000000002,54.0,143.0,109.0,116.0,123.0,0.34002,0.15473296177645152,4.0,1.0,0.0,201.0,Scenario discovery GINI opt- 1000 scenarios 1000nfe
2,0.24333418691443964,0.5913281624583862,-0.2123238070404161,-0.603524795595794,6.525086096539678,0.9521751357288984,0.24275466260893194,1.4273469887405479,0.788965951827755,202.0,5.28531973819714,1.239766358342539,1.1949297983378304,0.788965951827755,1.4273469887405479,2.9697459094257366,0.3650754580201137,1.430263951805711,0.32842418391067363,0.9779455658524535,2.93292,0.75717,0.94351,0.78229,1.20143,1.01256,0.48216,1.5159,0.41982,0.81398,0.012559999999999905,0.5178400000000001,0.5159,0.5801799999999999,0.18601999999999996,162.0,71.0,237.0,62.0,119.0,0.41982,0.2565778127518012,3.0,2.0,0.0,202.0,Scenario discovery GINI opt- 1000 scenarios 1000nfe
3,-0.47209920547480455,-0.43247503774954676,-0.07574780089514888,-0.5617505600484715,0.9077306880859988,0.1810174655859659,0.6262890995699903,1.1917264605467515,0.565743204144014,203.0,0.7352618573496591,0.17246883073633976,0.8073065651559562,0.565743204144014,1.1917264605467515,0.08426541407710168,0.3853661827173228,0.4110685545524946,0.352546725551425,0.9201071089468627,2.93292,0.75717,0.94351,0.78229,1.20143,0.02873,0.50896,0.43568,0.45066,0.76584,0.97127,0.49104000000000003,0.5643199999999999,0.5493399999999999,0.23416000000000003,5.0,75.0,68.0,67.0,112.0,0.02873,0.2826651810381438,5.0,4.0,1.0,203.0,Scenario discovery GINI opt- 1000 scenarios 1000nfe
4,-0.551641331409839,-0.18107128327959843,-0.716528356358126,-0.5415828324676345,4.432451695418065,0.4972364355534059,0.9521679519351025,1.568593980256182,0.6898550502145622,204.0,3.5902858732886327,0.8421658221294324,1.4494043874885083,0.6898550502145622,1.568593980256182,1.5513216077382255,0.6267855736089808,1.4281292671711496,0.7043864611588235,0.6815625574610646,2.93292,0.75717,0.94351,0.78229,1.20143,0.52893,0.8278,1.51363,0.90042,0.56729,0.47107,0.17220000000000002,0.51363,0.09958,0.43271000000000004,85.0,122.0,236.0,133.0,83.0,0.52893,0.21230916052530271,3.0,2.0,0.0,204.0,Scenario discovery GINI opt- 1000 scenarios 1000nfe
5,-0.1422387067609921,-0.4699550246210255,-0.04766673340763683,-0.0854691355922702,0.2635682816888299,1.1719253682213413,0.5680305249282969,2.1472166536553146,0.4800856407016563,205.0,0.21349030816795223,0.05007797352087768,1.7399558931496382,0.4800856407016563,2.1472166536553146,0.021113144938378996,0.3357429009970372,1.0564541130954446,0.3705123945158429,1.113210404823256,2.93292,0.75717,0.94351,0.78229,1.20143,0.0072,0.44342,1.11971,0.47363,0.92657,0.9928,0.5565800000000001,0.11970999999999998,0.52637,0.07343,1.0,65.0,175.0,70.0,136.0,0.0072,0.3646716242556043,3.0,3.0,1.0,205.0,Scenario discovery GINI opt- 1000 scenarios 1000nfe
6,-0.5199856678175472,-0.6227510988506173,-0.14953627210262543,-0.8514204756983381,3.2672668585649602,1.1050672860822366,0.0952512956821381,1.9254909861779317,0.9239631926016769,206.0,2.646486155437618,0.6207807031273425,1.2003185817643747,0.9239631926016769,1.9254909861779317,1.0698340911651896,0.7800501492933797,0.6683167734935009,0.5601106133409575,1.4324486623294248,2.93292,0.75717,0.94351,0.78229,1.20143,0.36477,1.03022,0.70833,0.71599,1.19229,0.63523,0.030219999999999914,0.29167,0.28401,0.19229000000000007,58.0,151.0,111.0,106.0,175.0,0.36477,0.19712134809053744,3.0,1.0,0.0,206.0,Scenario discovery GINI opt- 1000 scenarios 1000nfe
7,0.0015662907842493023,0.44723113771776024,0.7639903993147132,-0.037513236504989944,5.3349900694983585,0.3530363382127244,0.8594359446429517,0.2910421396047902,0.21809474092010275,207.0,4.32134195629367,1.0136481132046882,1.2124722828556762,0.21809474092010275,0.2910421396047902,2.299799156079743,0.32205004491568984,0.5648814530968594,0.4236902714726017,0.6685357280624357,2.93292,0.75717,0.94351,0.78229,1.20143,0.78413,0.42533,0.5987,0.5416,0.55645,0.21587,0.57467,0.4013,0.45840000000000003,0.44355,126.0,62.0,94.0,80.0,82.0,0.42533,0.10662684389634614,5.0,4.0,0.0,207.0,Scenario discovery GINI opt- 1000 scenarios 1000nfe
8,-0.43362089100267265,-0.14490667783951383,0.10044577818670497,-0.048641417755999394,1.5538780853331244,0.7091914755715515,0.3348488478340104,0.9485437194331702,0.04452167304696191,208.0,1.2586412491198309,0.29523683621329366,1.044040323405562,0.04452167304696191,0.9485437194331702,0.387693219730048,0.27266000808662,0.594953962607932,0.38078291353100985,0.5778183431153752,2.93292,0.75717,0.94351,0.78229,1.20143,0.13219,0.3601,0.63058,0.48675,0.48094,0.86781,0.6399,0.36941999999999997,0.51325,0.5190600000000001,21.0,53.0,98.0,72.0,70.0,0.13219,0.21495293127200366,5.0,5.0,1.0,208.0,Scenario discovery GINI opt- 1000 scenarios 1000nfe
9,-0.9158464779368556,0.07219251684597827,0.08050738711916017,-0.5587386873835307,5.307967441018875,0.575844171162714,0.1657218101747492,0.04652431563366275,0.10297545018688757,209.0,4.299453627225289,1.0085138137935863,0.7415659813374632,0.10297545018688757,0.04652431563366275,1.6918371408798085,0.5627214644883369,0.4489201310733044,0.6068559057197948,0.43909777645301606,2.93292,0.75717,0.94351,0.78229,1.20143,0.57684,0.74319,0.4758,0.77574,0.36548,0.42316,0.25681,0.5242,0.22426000000000001,0.63452,92.0,109.0,74.0,115.0,54.0,0.36548,0.1481636335779098,5.0,3.0,0.0,209.0,Scenario discovery GINI opt- 1000 scenarios 1000nfe
