,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,chapala_flow,calderon_flow,zapotillo_flow,pozos_flow,toluquilla_flow,scenario,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,min_supplied_demand,min_deficit_sq,supplied_demand_GINI,experiment,scenario_name
47,-0.03396816628913532,0.08020743162125744,0.41621426658195176,0.30001292267273816,6.291550442398022,0.2393935827402003,1.0911634897358113,2.002730947423002,0.15958681766759641,47.0,5.0961558583423985,1.1953945840556242,1.3305570724760116,0.15958681766759641,2.002730947423002,2.6888717623158844,0.6704811955078073,0.8462723307522879,0.7092685873859365,1.090915463884451,2.93292,0.75717,0.94351,0.78229,1.20143,0.91679,0.88551,0.89694,0.90666,0.90801,0.08321,0.11448999999999998,0.10306000000000004,0.09333999999999998,0.09199000000000002,147.0,130.0,140.0,134.0,133.0,0.88551,0.00533,0.006524720253616043,GINI optimization for all,
48,0.3202036937605577,-0.44811756399132746,-0.038591116455489405,0.7679429729107207,1.6186740056824918,0.8534075005031175,0.047309522353781004,2.583581306159518,0.13483029398660767,48.0,1.3111259446028185,0.3075480610796734,0.9007170228568986,0.13483029398660767,2.583581306159518,0.9055989584352779,0.4771892195170254,0.6141568192194378,0.5012310771640724,0.7856285641348391,2.93292,0.75717,0.94351,0.78229,1.20143,0.30877,0.63023,0.65093,0.64072,0.65391,0.69123,0.36977000000000004,0.34907,0.35928000000000004,0.34609,49.0,93.0,102.0,95.0,96.0,0.30877,0.07839,0.09859111961616333,GINI optimization for all,
49,0.9650008677562032,-0.36753032954829434,0.5117953662866659,0.9886344405189972,3.2200977234095847,1.1342816474230666,0.5024389635557074,2.4435201360661183,0.5579840482996078,49.0,2.608279155961764,0.6118185674478211,1.636720610978774,0.5579840482996078,2.4435201360661183,2.0147507438469523,0.6087390382285992,0.73549352473254,0.5736335112352549,0.9289193107345066,2.93292,0.75717,0.94351,0.78229,1.20143,0.68694,0.80397,0.77953,0.73327,0.77318,0.31306,0.19603000000000004,0.22047000000000005,0.26673,0.22682000000000002,110.0,118.0,122.0,108.0,113.0,0.68694,0.02203,0.02968791783716231,GINI optimization for all,
50,0.4982474115034661,-0.28241769676625683,0.8877718082427608,0.9311682502369449,4.764869719833948,1.352530499150317,0.8696472367003882,2.309451959328058,0.21872656802611476,50.0,3.859544473065498,0.9053252467684502,2.222177735850705,0.21872656802611476,2.309451959328058,2.376984095369175,0.7308406145695951,0.8829120177785375,0.7236129870959837,1.1426844560831058,2.93292,0.75717,0.94351,0.78229,1.20143,0.81045,0.96523,0.93577,0.92499,0.9511,0.18955,0.03476999999999997,0.06423000000000001,0.07501000000000002,0.048900000000000055,130.0,142.0,146.0,137.0,139.0,0.81045,0.00069,0.02926797368524307,GINI optimization for all,
51,-0.07860753297066914,0.0702089124686108,-0.18589578458180822,-0.08325317998461815,5.079964692581711,0.19971444791946222,0.25229004128477334,1.82483061614461,0.3976966088143067,51.0,4.114771400991186,0.965193291590525,0.4520044892042355,0.3976966088143067,1.82483061614461,2.1377988980403364,0.5378235516618753,0.6769327469055321,0.5595962449069621,0.8584714293971438,2.93292,0.75717,0.94351,0.78229,1.20143,0.7289,0.71031,0.71746,0.71533,0.71454,0.2711,0.28969,0.28254,0.28467,0.28546000000000005,117.0,104.0,112.0,106.0,105.0,0.71031,0.04811,0.004472276901972377,GINI optimization for all,
52,-0.07204666664323957,-0.07358935410630196,0.09338685851337858,-0.3737690874463018,1.9512725381053646,0.5143574789431351,0.183877033948777,0.18360178943468006,0.5756712852082421,52.0,1.5805307558653454,0.3707417822400193,0.6982345128919121,0.5756712852082421,0.18360178943468006,0.7939488075720234,0.27194648753318795,0.33741645746687693,0.26891224267951486,0.396737472117175,2.93292,0.75717,0.94351,0.78229,1.20143,0.2707,0.35916,0.35762,0.34375,0.33022,0.7293000000000001,0.6408400000000001,0.64238,0.65625,0.66978,43.0,53.0,56.0,51.0,48.0,0.2707,0.23544,0.0491907671010262,GINI optimization for all,
53,-0.5871650664678121,0.15915325231418376,0.07349944617164139,-0.45172369078417707,7.307730076299034,0.03080043871521675,1.038556028917028,1.4848734810685418,0.26808815927502616,53.0,5.919261361802218,1.3884687144968164,1.0693564676322447,0.26808815927502616,1.4848734810685418,2.7671529808202298,0.7358797239091062,0.8951345112152549,0.69878276091514,1.0942258939230327,2.93292,0.75717,0.94351,0.78229,1.20143,0.94348,0.97188,0.94873,0.89325,0.91077,0.056520000000000015,0.028120000000000034,0.05127000000000004,0.10675000000000001,0.08923000000000003,151.0,143.0,148.0,132.0,133.0,0.89325,0.00045,0.016727969135260305,GINI optimization for all,
54,0.7435773349373773,-0.4289589975294597,0.006706264855203398,0.8283264890826326,3.504052585872269,0.4529159504947416,0.7283887403288057,3.085183568543858,0.6040937715150005,54.0,2.838282594556538,0.6657699913157311,1.1813046908235474,0.6040937715150005,3.085183568543858,1.9931780767095915,0.6812813081445083,0.831990128963505,0.6662580408754353,1.0301349235039072,2.93292,0.75717,0.94351,0.78229,1.20143,0.67959,0.89977,0.8818,0.85168,0.85742,0.32041,0.10023000000000004,0.11819999999999997,0.14832,0.14258000000000004,109.0,132.0,138.0,126.0,126.0,0.67959,0.00576,0.045127162335202115,GINI optimization for all,
55,-0.45767827864270955,0.2053883504306908,0.40208548681379314,-0.6753307663946349,5.749118616611556,0.6154308577898351,0.6147497588238066,0.30668895315396055,0.5876981717649002,55.0,4.656786079455361,1.0923325371561956,1.2301806166136418,0.5876981717649002,0.30668895315396055,2.179733041709312,0.5268125909309712,0.6556606080039448,0.5555796463878241,0.8558118638345362,2.93292,0.75717,0.94351,0.78229,1.20143,0.7432,0.69577,0.69492,0.7102,0.71233,0.25680000000000003,0.30423,0.30508,0.28979999999999995,0.28767,119.0,102.0,109.0,105.0,104.0,0.69492,0.0514,0.012722906743298035,GINI optimization for all,
56,-0.41448148829627646,0.15718980389832649,0.8904757208531158,-0.19012752941979788,8.862748963035974,0.9173108941333037,1.3932235005485025,1.4803202053428013,0.4384827171716883,56.0,7.17882666005914,1.683922302976835,2.310534394681806,0.4384827171716883,1.4803202053428013,3.54943566269248,0.9157576596155846,1.1125238222591027,0.9508891243901428,1.452914456786194,2.93292,0.75717,0.94351,0.78229,1.20143,1.21021,1.20945,1.17913,1.21552,1.20932,0.21021,0.20944999999999991,0.17913,0.21551999999999993,0.20931999999999995,194.0,178.0,184.0,180.0,177.0,1.17913,0.02515,0.0048920667438073,GINI optimization for all,
