,calderon_lared_flow,chapala_flow,pozos_flow,toluquilla_flow,scenario,policy,model,drought_condition,probability
0,3.84968200858778,9.073719117245004,4.058540700962135,0.1561124908634695,343660,None,AMGmodel,NO,0.0
1,1.3048935501307888,8.654988100311808,2.4698309337484194,0.078252225304683,387278,None,AMGmodel,NO,0.15
2,0.223404693957262,8.43305269616947,4.303270174154554,0.4196951045685363,314317,None,AMGmodel,NO,0.04
3,0.6054115106183021,8.382582076097036,1.098128962964772,0.0605749430651593,381932,None,AMGmodel,LOW,0.72
4,1.478194420866274,5.756758414546172,3.580713217863279,0.544801933929087,395321,None,AMGmodel,LOW,0.78
5,1.958489373248152,11.298845779829335,2.698771155141924,0.0291315884271297,305405,None,AMGmodel,NO,0.0
6,4.406257501621056,8.012604109042456,2.3655601645619604,1.3756506866118323,333188,None,AMGmodel,NO,0.01
7,1.2386241192166474,0.8747968417685319,2.920137118589177,1.1191804566756431,363421,None,AMGmodel,HIGH,0.97
8,3.041515972647245,11.224030647755615,2.490198783402097,1.1477968751204388,372897,None,AMGmodel,NO,0.0
9,0.4983625260153053,9.682540882324592,4.500079912080819,1.2577082154727013,309507,None,AMGmodel,NO,0.0
10,4.113158659242992,4.3286167911179065,2.7609395469028497,1.174015039491798,388624,None,AMGmodel,LOW,0.82
11,2.289438316061303,7.875528860619139,0.307327207061162,1.3825086465195489,395115,None,AMGmodel,NO,0.32
12,3.971243968101385,11.2842128146311,2.1054973306080003,0.1295780369268461,399243,None,AMGmodel,NO,0.0
13,1.0939043258242158,9.173343575095153,2.449607267145508,0.5681574636888467,377045,None,AMGmodel,NO,0.04
14,2.394376932357684,1.8429799104118136,1.121346927901858,0.3433500239105019,331791,None,AMGmodel,HIGH,0.99
15,3.1228149163216017,10.8205125816603,1.6575036657530402,0.3027370084672399,345417,None,AMGmodel,NO,0.0
16,0.128543703696962,4.420273448942753,1.8604527689992965,0.5752172169130969,371963,None,AMGmodel,MID,0.78
17,1.9370157833510755,11.017502411919676,4.190655722034929,0.2348764414912965,391216,None,AMGmodel,NO,0.0
18,1.259325144912259,3.8917028260964375,3.177422608820407,0.6016443218393706,331924,None,AMGmodel,MID,0.73
19,0.384926838323053,0.953862509504216,3.0353002054187823,0.7528614439455928,315134,None,AMGmodel,HIGH,1.0
20,2.350978569726238,8.82223640669303,2.667656957205485,0.241312915895061,316405,None,AMGmodel,NO,0.03
21,2.439194218147928,9.723664651048638,3.648692554326975,0.2030420915207351,322718,None,AMGmodel,NO,0.0
22,0.4643233099823163,3.795833346832917,3.5428375543642785,1.083103163036898,315522,None,AMGmodel,LOW,0.99
23,0.4407583852440638,0.7339355665549999,2.42854654821607,0.3826883855019757,324507,None,AMGmodel,HIGH,1.0
24,1.716390198841106,5.435029476402774,2.7956255439325237,0.2835371391645598,313979,None,AMGmodel,LOW,0.95
25,1.3632025470876104,0.1153849720662539,0.7845908868021046,0.3818506776703785,371898,None,AMGmodel,HIGH,1.0
26,0.7505866473942864,4.634134096622477,1.0706236727358582,0.0072571562334177,364290,None,AMGmodel,MID,0.95
27,3.855951286774365,5.477716980120087,2.5078975718998566,0.6464964245258467,327706,None,AMGmodel,LOW,0.69
28,2.7661102712069336,3.825641829365384,4.262884721039787,1.210334304934523,392621,None,AMGmodel,LOW,0.85
29,0.3103371221280198,0.9025105347902032,0.4142062495841038,0.3456953610678543,366503,None,AMGmodel,HIGH,1.0
30,3.457561555076866,7.526795386069254,1.441945792855423,0.6654338269161426,332959,None,AMGmodel,NO,0.21
31,0.2145793653134341,9.906398483567298,1.992861586278315,0.2333764818486786,350907,None,AMGmodel,NO,0.06
32,3.392035822521212,3.510712230255,0.1897941393910761,0.7355285952683115,382950,None,AMGmodel,MID,0.94
33,2.302695585736872,1.7520549324198371,3.869181717326767,0.0653378643006486,384717,None,AMGmodel,HIGH,1.0
34,2.248664500410065,9.941721130032606,2.064840165460995,0.013082116449817,306839,None,AMGmodel,NO,0.01
35,2.563591836926956,0.2346985800833008,2.972031156470657,0.9518598651074066,303015,None,AMGmodel,HIGH,1.0
36,2.6967532966969694,0.3999889894769297,0.2226915125323644,0.3062130052027248,321702,None,AMGmodel,HIGH,1.0
37,3.339989213734686,1.859719456057632,3.493989203303908,0.5459573853936077,372719,None,AMGmodel,MID,0.99
38,4.270333243708049,5.853267217747025,0.3194685196082508,0.6268149361297585,327709,None,AMGmodel,LOW,0.91
39,3.579602891622056,10.95701413515888,0.1287423981773449,0.9442943653902928,388505,None,AMGmodel,NO,0.0
40,3.006059611344499,3.744344258385179,3.18357444145887,0.1775301865732222,394640,None,AMGmodel,MID,0.88
41,2.2393574358573725,2.645086090023905,1.8770267011929396,0.2467179586262656,360697,None,AMGmodel,MID,1.0
42,3.1006909829959506,6.653266504375424,1.566963542925151,0.6413334774638813,373682,None,AMGmodel,LOW,0.61
43,0.0814888254183556,1.097228312130025,3.035404974733801,0.0657003884629238,346698,None,AMGmodel,HIGH,1.0
44,2.6929085161126105,4.352944366912097,3.742963642889339,0.3196641149808876,332179,None,AMGmodel,LOW,0.95
45,2.695921372619116,6.209785847945075,1.165187930565751,0.8772323890707904,344305,None,AMGmodel,LOW,0.84
46,3.670367298615818,10.930582541250924,4.482509461920124,1.4318421644137471,304004,None,AMGmodel,NO,0.0
47,1.317144784929009,2.121358907642836,2.9295350475850506,0.0688259865263208,382831,None,AMGmodel,HIGH,0.98
48,0.9477435522823028,8.242531437820208,4.614234228498685,0.3135499004389985,399338,None,AMGmodel,NO,0.03
