policy,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,experiment_name,scenario,seed,duration
11,-0.520173387,-0.714405478,-0.313856724,-0.121297717,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.437484979,0.671102561,0.63014331,0.635432505,0.990236645,3.3644,0.149163455,0.886331684,0.667870748,0.812267767,0.824218421,0.850836545,0.113668316,0.332129252,0.187732233,0.175781579,23.90360708,130.2020314,104.3069757,120.0134841,120.7356859,0.667970415,99.83235685,0.149163455,0.183528119,0.195300162,0.417433326,5,1,1,A-priori,chapala_incident,1,1687
12,-0.812585266,-0.141155422,-0.067964536,-0.282587097,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.247417257,0.298490025,0.842925924,0.72066213,1.254904665,3.3644,0.084358583,0.394218681,0.893392914,0.921216045,1.044513497,0.915641417,0.605781319,0.106607086,0.078783955,0.044513497,13.51855535,57.91068285,139.5286635,136.1107158,153.0056236,0.667539944,100.0148482,0.084358583,0.288430867,0.293292674,0.32607308,4,2,1,A-priori,chapala_incident,1,1687
13,-0.31950073,-0.53967642,-0.227296078,-0.227804209,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.567922205,0.557528673,0.687452777,0.435766059,1.115730285,3.3644,0.193636908,0.736333545,0.728611403,0.55703591,0.928672412,0.806363092,0.263666455,0.271388597,0.44296409,0.071327588,31.03052655,108.1673206,113.7933531,82.30268766,136.0366352,0.628858036,94.26610461,0.193636908,0.204954163,0.209823973,0.328569359,5,2,1,A-priori,chapala_incident,1,1687
14,-0.024919525,-0.226285039,-0.00828894,-0.067762967,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.759399988,0.353824275,0.748802535,0.348315083,1.154058118,3.3644,0.25892255,0.467299164,0.793634245,0.445248098,0.960574388,0.74107745,0.532700836,0.206365755,0.554751902,0.039425612,41.4926222,68.64619824,123.9485156,65.78591167,140.7097981,0.585135689,88.11660917,0.25892255,0.232961262,0.239491777,0.081814118,5,3,1,A-priori,chapala_incident,1,1687
15,0.300809034,0.069377656,0.026566202,-0.075513756,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.971123552,0.161643524,0.918327445,0.131553507,1.181751973,3.3644,0.331111128,0.213484175,0.973308815,0.168163688,0.983625227,0.668888872,0.786515825,0.026691185,0.831836312,0.016374773,53.06092081,31.3608029,152.0098,24.84637563,144.0864016,0.533938606,81.07286019,0.168163688,0.362195138,0.358205635,0.118066662,3,3,2,A-priori,chapala_incident,1,1687
16,-0.650837216,-0.553227346,-0.461740523,-0.121092348,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.35255349,0.566336775,0.831033565,0.720497484,0.893978686,3.3644,0.120205491,0.747966491,0.880788545,0.92100558,0.7440986,0.879794509,0.252033509,0.119211455,0.07899442,0.2559014,19.26306159,109.876199,137.5601336,136.0796193,108.999329,0.682812941,102.3556685,0.120205491,0.206084871,0.203662235,0.446724358,5,1,1,A-priori,chapala_incident,1,1687
17,-0.317003784,-0.797305421,-0.682310195,-0.201789829,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.56954522,0.724987524,0.815753103,0.451052391,0.803061762,3.3644,0.194190286,0.957498079,0.864593224,0.576576293,0.668424362,0.805809714,0.042501921,0.135406776,0.423423707,0.331575638,31.11920596,140.6563674,135.0307744,85.18980148,97.91418354,0.652256449,97.98206656,0.194190286,0.219562869,0.222566755,0.499602307,5,3,1,A-priori,chapala_incident,1,1687
18,-0.681927421,-0.232137338,-0.344213369,-0.081226824,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.332344856,0.35762827,0.96334942,0.766618708,0.944458745,3.3644,0.113315221,0.472323137,1.02102631,0.979961933,0.78611542,0.886684779,0.527676863,0.02102631,0.020038067,0.21388458,18.15888829,69.38421928,159.4622414,144.7904875,115.1541654,0.674548404,101.3900004,0.113315221,0.282483853,0.27551007,0.334876238,3,2,1,A-priori,chapala_incident,1,1687
19,0.436336616,-0.691768027,0.025318462,-0.072423918,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,1.059216481,0.656388217,0.424393783,0.045468973,1.178932547,3.3644,0.361147006,0.866898307,0.44980275,0.058122587,0.981278492,0.638852994,0.133101693,0.55019725,0.941877413,0.018721508,57.87420322,127.3472704,70.24946753,8.587678131,143.74264,0.543449828,81.56025187,0.058122587,0.333282925,0.346241804,0.306461756,4,3,1,A-priori,chapala_incident,1,1687
20,-0.262104892,-0.484061815,-0.290419891,-0.127951211,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.6052295,0.52137918,0.764632749,0.463363213,1.009795358,3.3644,0.206357082,0.688590557,0.810412233,0.592313108,0.840498016,0.793642918,0.311409443,0.189587767,0.407686892,0.159501984,33.06894833,101.1538807,126.5688747,87.51493376,123.1204033,0.627634199,94.28540815,0.206357082,0.188877856,0.189458254,0.291134452,5,2,1,A-priori,chapala_incident,1,1687
