policy,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Pozos,delivered_Toluquilla,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,ZAs_below_128,experiment_name,scenario,seed,duration
37,-875,-330,-5,-960,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.422,0.479,0.09,0.191,1.01,2.191,0.144,0.632,0.095,0.244,0.84,0.856,0.368,0.905,0.756,0.16,23.073,92.867,14.858,36.039,123.099,0.391,57.987,0.095,0.395,0.405,0.542,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
38,279,-198,139,-78,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,1.172,0.393,0.082,0.014,0.53,2.191,0.4,0.519,0.087,0.018,0.441,0.6,0.481,0.913,0.982,0.559,64.058,76.221,13.567,2.647,64.611,0.293,44.221,0.018,0.359,0.37,0.174,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
39,-969,-167,-645,-937,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.361,0.373,0.612,0.267,0.579,2.191,0.123,0.492,0.648,0.341,0.482,0.877,0.508,0.352,0.659,0.518,19.735,72.312,101.255,50.402,70.555,0.417,62.852,0.123,0.235,0.23,0.68,5.0,4.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
40,-1000,-239,-985,-533,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.341,0.42,0.786,0.55,0.095,2.191,0.116,0.554,0.833,0.703,0.079,0.884,0.446,0.167,0.297,0.921,18.634,81.391,130.091,103.805,11.591,0.457,69.102,0.079,0.373,0.367,0.689,5.0,3.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
41,-943,264,11,-889,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.378,0.093,0.465,0.281,0.974,2.191,0.129,0.122,0.493,0.359,0.811,0.871,0.878,0.507,0.641,0.189,20.658,17.959,77.047,53.103,118.74,0.383,57.502,0.122,0.359,0.364,0.527,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
42,-978,162,615,-833,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.355,0.159,0.007,0.34,1.33,2.191,0.121,0.21,0.007,0.435,1.107,0.879,0.79,0.993,0.565,0.107,19.415,30.822,1.086,64.275,162.17,0.376,55.554,0.007,0.529,0.535,0.647,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
43,-978,-166,-729,-801,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.355,0.372,0.667,0.361,0.436,2.191,0.121,0.491,0.707,0.462,0.363,0.879,0.509,0.293,0.538,0.637,19.415,72.185,110.401,68.203,53.119,0.429,64.665,0.121,0.249,0.243,0.669,5.0,4.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
44,-759,-167,-375,-408,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.498,0.373,0.436,0.474,0.41,2.191,0.17,0.492,0.462,0.606,0.342,0.83,0.508,0.538,0.394,0.658,27.193,72.312,72.205,89.564,50.029,0.414,62.261,0.17,0.189,0.198,0.427,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
45,-872,338,-258,-930,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.424,0.044,0.688,0.208,0.826,2.191,0.145,0.059,0.73,0.266,0.687,0.855,0.941,0.27,0.734,0.313,23.18,8.627,113.952,39.354,100.671,0.377,57.157,0.059,0.403,0.4,0.6,5.0,3.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
46,-40,171,-245,-56,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.965,0.153,0.571,0.236,0.266,2.191,0.329,0.202,0.606,0.301,0.221,0.671,0.798,0.394,0.699,0.779,52.729,29.687,94.585,44.51,32.435,0.332,50.789,0.202,0.236,0.22,0.128,5.0,5.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
47,-977,-355,-280,-912,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.356,0.495,0.252,0.288,0.8,2.191,0.121,0.654,0.267,0.369,0.666,0.879,0.346,0.733,0.631,0.334,19.451,96.02,41.756,54.454,97.501,0.415,61.836,0.121,0.272,0.284,0.631,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
48,-958,-737,-313,-111,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.368,0.743,0.025,0.797,0.258,2.191,0.126,0.982,0.027,1.018,0.214,0.874,0.018,0.973,0.018,0.786,20.126,144.193,4.206,150.456,31.404,0.473,70.077,0.027,0.476,0.48,0.53,3.0,3.0,3.0,3.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
49,-978,-78,347,-912,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.355,0.315,0.025,0.289,1.207,2.191,0.121,0.416,0.026,0.369,1.005,0.879,0.584,0.974,0.631,0.005,19.415,61.088,4.098,54.576,147.191,0.387,57.274,0.026,0.458,0.465,0.579,4.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
50,-599,57,373,-856,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.602,0.227,0.096,0.079,1.188,2.191,0.205,0.3,0.101,0.101,0.989,0.795,0.7,0.899,0.899,0.011,32.876,44.063,15.826,14.923,144.814,0.339,50.5,0.101,0.456,0.466,0.471,4.0,4.0,4.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
51,-728,146,-727,-609,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.518,0.169,0.868,0.323,0.312,2.191,0.177,0.224,0.92,0.413,0.26,0.823,0.776,0.08,0.587,0.74,28.294,32.84,143.755,61.083,38.062,0.399,60.807,0.177,0.341,0.337,0.552,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
52,-975,-751,-793,-652,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.357,0.752,0.328,0.456,0.297,2.191,0.122,0.994,0.348,0.583,0.247,0.878,0.006,0.652,0.417,0.753,19.522,145.959,54.345,86.127,36.239,0.459,68.438,0.122,0.354,0.363,0.793,4.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
53,-61,-331,-472,-368,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.951,0.479,0.393,0.047,0.321,2.191,0.324,0.633,0.416,0.059,0.267,0.676,0.367,0.584,0.941,0.733,51.983,92.993,64.996,8.785,39.171,0.34,51.586,0.059,0.301,0.305,0.308,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
54,-884,85,-627,-320,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.416,0.209,0.764,0.613,0.189,2.191,0.142,0.276,0.81,0.783,0.158,0.858,0.724,0.19,0.217,0.842,22.754,40.532,126.432,115.713,23.083,0.434,65.703,0.142,0.365,0.362,0.479,5.0,3.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
55,-943,0,-35,-970,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.378,0.264,0.324,0.229,0.997,2.191,0.129,0.349,0.343,0.292,0.83,0.871,0.651,0.657,0.708,0.17,20.658,51.252,53.591,43.159,121.514,0.389,58.035,0.129,0.292,0.3,0.487,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
56,-991,359,-57,-896,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.347,0.031,0.571,0.308,0.934,2.191,0.118,0.041,0.606,0.393,0.778,0.882,0.959,0.394,0.607,0.222,18.954,5.979,94.585,58.137,113.906,0.387,58.312,0.041,0.4,0.405,0.576,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
57,-520,-585,-254,-510,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.653,0.644,0.086,0.253,0.555,2.191,0.223,0.851,0.091,0.323,0.462,0.777,0.149,0.909,0.677,0.538,35.681,125.025,14.212,47.702,67.702,0.39,58.064,0.091,0.349,0.361,0.467,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
58,-982,-379,-273,-580,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.353,0.511,0.232,0.507,0.588,2.191,0.12,0.674,0.246,0.649,0.49,0.88,0.326,0.754,0.351,0.51,19.273,99.046,38.421,95.825,71.744,0.436,64.862,0.12,0.268,0.277,0.554,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
59,-551,305,-223,-29,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.633,0.066,0.644,0.585,0.263,2.191,0.216,0.087,0.683,0.748,0.219,0.784,0.913,0.317,0.252,0.781,34.58,12.789,106.635,110.557,32.038,0.391,59.32,0.087,0.364,0.367,0.277,5.0,3.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
60,-380,233,367,-597,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.744,0.113,0.214,0.105,1.015,2.191,0.254,0.149,0.227,0.134,0.845,0.746,0.851,0.773,0.866,0.155,40.653,21.868,35.408,19.834,123.812,0.322,48.315,0.134,0.375,0.38,0.394,5.0,4.0,4.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
61,-984,255,628,-130,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.351,0.098,0.059,0.801,0.882,2.191,0.12,0.13,0.062,1.024,0.734,0.88,0.87,0.938,0.024,0.266,19.202,19.094,9.693,151.315,107.486,0.414,61.358,0.062,0.485,0.491,0.499,4.0,3.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
62,346,163,-615,-16,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,1.216,0.158,0.807,0.011,-0.0,2.191,0.415,0.209,0.855,0.014,-0.0,0.585,0.791,0.145,0.986,1.0,66.437,30.696,133.534,2.033,-0.059,0.298,46.528,-0.0,0.57,0.566,0.285,5.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
63,-472,-39,18,-506,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.684,0.29,0.264,0.224,0.729,2.191,0.233,0.382,0.28,0.286,0.607,0.767,0.618,0.72,0.714,0.393,37.386,56.17,43.693,42.3,88.941,0.358,53.698,0.233,0.174,0.19,0.259,5.0,5.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
64,-1000,-798,-941,-495,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.341,0.783,0.394,0.574,0.099,2.191,0.116,1.034,0.418,0.734,0.082,0.884,0.034,0.582,0.266,0.918,18.634,151.886,65.212,108.47,12.067,0.477,71.254,0.082,0.415,0.423,0.808,4.0,3.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
65,-89,-844,-955,-369,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.933,0.813,0.373,0.064,0.008,2.191,0.318,1.073,0.395,0.082,0.007,0.682,0.073,0.605,0.918,0.993,50.988,157.687,61.769,12.1,0.972,0.375,56.703,0.007,0.512,0.522,0.564,4.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
66,-999,-65,-937,-801,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.342,0.306,0.868,0.375,0.3,2.191,0.117,0.405,0.92,0.479,0.25,0.883,0.595,0.08,0.521,0.75,18.67,59.449,143.647,70.781,36.635,0.434,65.836,0.117,0.345,0.338,0.7,4.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
67,-770,216,-588,-782,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.491,0.124,0.824,0.238,0.515,2.191,0.167,0.163,0.873,0.305,0.429,0.833,0.837,0.127,0.695,0.571,26.803,24.012,136.331,45.001,62.788,0.387,58.987,0.163,0.353,0.347,0.589,5.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
68,-601,389,-486,-273,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.6,0.011,0.87,0.459,0.25,2.191,0.205,0.015,0.922,0.587,0.208,0.795,0.985,0.078,0.413,0.792,32.805,2.196,143.97,86.741,30.533,0.387,59.249,0.015,0.459,0.454,0.437,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
69,-724,-326,-389,-913,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.52,0.476,0.342,0.123,0.729,2.191,0.177,0.629,0.362,0.158,0.607,0.823,0.371,0.638,0.842,0.393,28.436,92.363,56.604,23.271,88.941,0.387,57.923,0.158,0.274,0.284,0.588,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
70,-355,246,-622,-450,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.76,0.104,0.865,0.184,0.277,2.191,0.259,0.138,0.917,0.236,0.231,0.741,0.862,0.083,0.764,0.769,41.541,20.229,143.217,34.811,33.782,0.356,54.716,0.138,0.371,0.357,0.418,4.0,4.0,4.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
71,-544,341,-97,-784,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.637,0.043,0.586,0.09,0.835,2.191,0.217,0.056,0.621,0.115,0.695,0.783,0.944,0.379,0.885,0.305,34.829,8.249,96.952,17.01,101.859,0.341,51.78,0.056,0.413,0.419,0.442,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
72,-613,-248,23,-15,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.593,0.425,0.125,0.635,0.414,2.191,0.202,0.562,0.132,0.811,0.344,0.798,0.438,0.868,0.189,0.656,32.378,82.526,20.668,119.887,50.425,0.41,61.177,0.132,0.325,0.335,0.225,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
73,23,88,-769,-316,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,1.006,0.207,0.858,0.026,0.094,2.191,0.343,0.273,0.909,0.033,0.079,0.657,0.727,0.091,0.967,0.921,54.966,40.154,142.034,4.857,11.512,0.327,50.704,0.033,0.501,0.493,0.299,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
74,-532,-397,-282,-897,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.645,0.522,0.226,0.009,0.789,2.191,0.22,0.69,0.24,0.011,0.656,0.78,0.31,0.76,0.989,0.344,35.255,101.316,37.452,1.665,96.153,0.363,54.368,0.011,0.383,0.395,0.527,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
75,-485,136,11,-129,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.676,0.176,0.382,0.477,0.48,2.191,0.23,0.232,0.405,0.61,0.399,0.77,0.768,0.595,0.39,0.601,36.924,34.101,63.275,90.178,58.509,0.375,56.597,0.23,0.196,0.199,0.19,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
76,-517,-550,-602,-456,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.655,0.622,0.335,0.286,0.294,2.191,0.223,0.821,0.355,0.365,0.245,0.777,0.179,0.645,0.635,0.755,35.788,120.611,55.421,53.963,35.842,0.402,60.325,0.223,0.251,0.262,0.531,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
77,-394,-294,-302,-194,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.735,0.455,0.306,0.376,0.319,2.191,0.251,0.601,0.325,0.481,0.265,0.749,0.399,0.675,0.519,0.735,40.156,88.327,50.686,71.027,38.854,0.384,57.81,0.251,0.18,0.191,0.296,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
78,-906,-745,-814,-978,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.402,0.748,0.346,0.199,0.495,2.191,0.137,0.988,0.367,0.255,0.412,0.863,0.012,0.633,0.745,0.588,21.972,145.202,57.25,37.635,60.411,0.432,64.494,0.137,0.334,0.345,0.861,4.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
79,-1000,8,-908,-640,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.341,0.259,0.896,0.48,0.215,2.191,0.116,0.342,0.95,0.614,0.179,0.884,0.658,0.05,0.386,0.821,18.634,50.243,148.382,90.669,26.174,0.44,66.82,0.116,0.388,0.382,0.639,4.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
80,-999,-441,-974,-383,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.342,0.551,0.647,0.646,0.005,2.191,0.117,0.727,0.686,0.826,0.004,0.883,0.273,0.314,0.174,0.996,18.67,106.865,107.173,122.097,0.575,0.472,71.076,0.004,0.373,0.382,0.699,5.0,2.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
81,-941,-446,-966,-799,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.379,0.554,0.639,0.338,0.28,2.191,0.129,0.732,0.677,0.433,0.233,0.871,0.268,0.323,0.567,0.767,20.729,107.496,105.774,63.907,34.178,0.441,66.417,0.129,0.295,0.299,0.788,5.0,3.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
82,-494,-681,-231,-753,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.67,0.707,0.009,0.078,0.728,2.191,0.228,0.933,0.009,0.099,0.606,0.772,0.067,0.991,0.901,0.394,36.605,137.131,1.408,14.678,88.783,0.375,55.721,0.009,0.496,0.502,0.54,5.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
83,-463,279,-485,-276,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.69,0.083,0.798,0.368,0.253,2.191,0.235,0.109,0.845,0.47,0.211,0.765,0.891,0.155,0.53,0.789,37.706,16.067,132.027,69.431,30.85,0.374,57.216,0.109,0.378,0.37,0.376,5.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
84,-850,-558,-571,-23,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.439,0.627,0.309,0.784,0.033,2.191,0.15,0.828,0.328,1.002,0.027,0.85,0.172,0.672,0.002,0.973,23.961,121.62,51.224,148.0,3.983,0.467,69.758,0.027,0.442,0.45,0.5,4.0,3.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
85,-491,374,737,-497,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.672,0.021,0.065,0.242,1.191,2.191,0.229,0.028,0.069,0.31,0.991,0.771,0.972,0.931,0.69,0.009,36.711,4.087,10.769,45.737,145.21,0.325,48.503,0.028,0.523,0.533,0.525,4.0,4.0,4.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
86,-648,-322,-182,-384,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.57,0.473,0.21,0.418,0.52,2.191,0.194,0.625,0.223,0.534,0.433,0.806,0.375,0.777,0.466,0.567,31.135,91.858,34.762,78.884,63.422,0.402,60.012,0.194,0.221,0.234,0.384,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
87,-87,-350,-499,-3,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.934,0.492,0.398,0.301,0.066,2.191,0.319,0.649,0.422,0.384,0.055,0.681,0.351,0.578,0.616,0.945,51.059,95.389,65.857,56.786,8.104,0.366,55.439,0.055,0.273,0.282,0.235,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
88,-423,-60,-315,-383,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.716,0.303,0.467,0.272,0.433,2.191,0.244,0.4,0.495,0.348,0.36,0.756,0.6,0.505,0.652,0.64,39.126,58.818,77.262,51.385,52.802,0.369,55.879,0.244,0.12,0.12,0.295,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
89,-907,-462,-89,-999,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.401,0.564,0.059,0.186,0.98,2.191,0.137,0.745,0.062,0.238,0.816,0.863,0.255,0.938,0.762,0.184,21.937,109.513,9.693,35.18,119.533,0.4,59.171,0.062,0.415,0.424,0.614,5.0,3.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
90,120,73,408,-136,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,1.069,0.217,0.083,0.08,0.742,2.191,0.364,0.286,0.088,0.102,0.618,0.636,0.714,0.912,0.898,0.382,58.411,42.046,13.782,15.046,90.526,0.292,43.962,0.088,0.358,0.363,0.184,5.0,5.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
91,353,252,-22,-1,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,1.22,0.1,0.479,0.016,0.375,2.191,0.416,0.133,0.508,0.02,0.312,0.584,0.867,0.492,0.98,0.688,66.686,19.472,79.306,3.015,45.749,0.278,42.846,0.02,0.373,0.362,0.157,5.0,5.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
92,-73,-102,-517,-17,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.944,0.33,0.571,0.282,0.064,2.191,0.322,0.436,0.605,0.361,0.053,0.678,0.564,0.395,0.639,0.947,51.557,64.115,94.477,53.349,7.787,0.355,54.257,0.053,0.274,0.274,0.177,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
93,-859,-438,-6,0,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.433,0.549,0.02,0.804,0.385,2.191,0.148,0.725,0.021,1.028,0.32,0.852,0.275,0.979,0.028,0.68,23.642,106.487,3.345,151.929,46.938,0.449,66.468,0.021,0.457,0.462,0.326,4.0,3.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
94,-583,106,534,-144,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.612,0.195,0.023,0.531,0.83,2.191,0.209,0.258,0.024,0.679,0.69,0.791,0.742,0.976,0.321,0.31,33.444,37.884,3.775,100.368,101.146,0.372,55.323,0.024,0.378,0.388,0.342,5.0,3.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
95,-950,354,272,-465,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.374,0.034,0.354,0.561,0.868,2.191,0.127,0.045,0.376,0.718,0.722,0.873,0.955,0.624,0.282,0.278,20.41,6.609,58.648,106.015,105.822,0.398,59.501,0.045,0.382,0.391,0.51,5.0,3.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
96,-524,-173,-358,-145,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.65,0.377,0.421,0.492,0.25,2.191,0.222,0.497,0.446,0.629,0.208,0.778,0.503,0.554,0.371,0.792,35.539,73.068,69.73,93.002,30.533,0.401,60.374,0.208,0.215,0.223,0.3,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
97,-216,-12,-485,-24,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.851,0.272,0.608,0.371,0.089,2.191,0.29,0.359,0.645,0.474,0.074,0.71,0.641,0.355,0.526,0.926,46.478,52.765,100.718,70.045,10.878,0.368,56.177,0.074,0.289,0.288,0.184,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
98,287,-226,-412,-81,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,1.178,0.411,0.422,0.007,0.174,2.191,0.402,0.543,0.447,0.009,0.145,0.598,0.457,0.553,0.991,0.855,64.342,79.752,69.838,1.296,21.181,0.309,47.282,0.009,0.348,0.355,0.252,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
99,-536,-65,274,-379,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.643,0.306,0.081,0.348,0.813,2.191,0.219,0.405,0.085,0.445,0.677,0.781,0.595,0.915,0.555,0.323,35.113,59.449,13.351,65.748,99.165,0.366,54.565,0.085,0.297,0.308,0.314,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
