,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,min_supplied_demand,min_deficit_sq,supplied_demand_GINI,experiment,scenario
694,-0.95804702,-0.574948262,-0.310574286,0.942595422,5.751,1.349,0,0.4,2.2,2.436571397,1.18918687,0.114156916,1.922995128,0.300839689,2.93292,0.75717,0.94351,0.78229,1.20143,0.83077,1.57057,0.12099,2.45816,0.2504,0.16923,0.57057,0.87901,1.45816,0.7496,133,231,19,363,37,0.12099,0.18664,0.458393122,gini minimization and supply per capita maximization - 5k nfe,2020_drought
695,-0.590584076,-0.0216978,-0.847281709,-0.531905681,5.751,1.349,0,0.4,2.2,2.675422311,0.82957407,0.822629541,0.725718497,0.910405582,2.93292,0.75717,0.94351,0.78229,1.20143,0.9122,1.09562,0.87188,0.92768,0.75777,0.0878,0.09562,0.12812,0.07232,0.24223,146,161,136,137,111,0.75777,0.0032,0.064094279,gini minimization and supply per capita maximization - 5k nfe,2020_drought
696,-0.539307436,-0.379699572,-0.871792152,-0.616107246,5.751,1.349,0,0.4,2.2,2.708752126,1.062275222,0.605860177,0.637657664,0.949204811,2.93292,0.75717,0.94351,0.78229,1.20143,0.92357,1.40295,0.64213,0.81512,0.79006,0.07643,0.40295,0.35787,0.18488,0.20994,148,206,100,120,116,0.64213,0.02092,0.144749586,gini minimization and supply per capita maximization - 5k nfe,2020_drought
697,0.893172103,-0.204725597,-0.903375865,0.042906669,5.751,1.349,0,0.4,2.2,3.639863827,0.948542138,0.740122675,0.134905008,0.500316352,2.93292,0.75717,0.94351,0.78229,1.20143,1.24104,1.25275,0.78444,0.17245,0.41643,0.24104,0.25275,0.21556,0.82755,0.58357,199,184,123,25,61,0.17245,0.03662,0.308779424,gini minimization and supply per capita maximization - 5k nfe,2020_drought
698,0.631858348,0.215120311,-0.753222163,0.196093205,5.751,1.349,0,0.4,2.2,3.470009886,0.675642298,0.915422608,0.404330198,0.498345011,2.93292,0.75717,0.94351,0.78229,1.20143,1.18312,0.89233,0.97023,0.51685,0.41479,0.18312,0.10767,0.02977,0.48315,0.58521,190,131,152,76,61,0.41479,0.00079,0.200138787,gini minimization and supply per capita maximization - 5k nfe,2020_drought
699,0.732183326,0.730792411,-0.978917484,0.223746751,5.751,1.349,0,0.4,2.2,3.535221122,0.340455433,1.397311432,0.357093767,0.333668247,2.93292,0.75717,0.94351,0.78229,1.20143,1.20536,0.44964,1.48097,0.45647,0.27773,0.20536,0.55036,0.48097,0.54353,0.72227,193,66,231,67,41,0.27773,0.17365,0.32682802,gini minimization and supply per capita maximization - 5k nfe,2020_drought
700,-0.85355556,0.794296402,-0.842926349,0.459892135,5.751,1.349,0,0.4,2.2,2.504490846,0.299177839,1.350194789,1.541318541,0.268567985,2.93292,0.75717,0.94351,0.78229,1.20143,0.85392,0.39513,1.43103,1.97026,0.22354,0.14608,0.60487,0.43103,0.97026,0.77646,137,58,223,291,33,0.22354,0.16539,0.371723555,gini minimization and supply per capita maximization - 5k nfe,2020_drought
701,-0.631403522,0.92038965,-0.961258292,-0.539315229,5.751,1.349,0,0.4,2.2,2.648889671,0.217217227,1.509071162,0.747434931,0.841137009,2.93292,0.75717,0.94351,0.78229,1.20143,0.90316,0.28688,1.59942,0.95544,0.70011,0.09684,0.71312,0.59942,0.04456,0.29989,145,42,250,141,103,0.28688,0.00121,0.259203916,gini minimization and supply per capita maximization - 5k nfe,2020_drought
702,-0.803548938,0.658179987,0.864089287,-0.821891894,5.751,1.349,0,0.4,2.2,2.53699515,0.387653509,0.152158955,0.675654618,2.211287768,2.93292,0.75717,0.94351,0.78229,1.20143,0.86501,0.51198,0.16127,0.86369,1.84055,0.13499,0.48802,0.83873,0.13631,0.84055,139,75,25,128,270,0.16127,0.01137,0.349943665,gini minimization and supply per capita maximization - 5k nfe,2020_drought
703,-0.131517487,0.711165465,-0.560369238,-0.203122519,5.751,1.349,0,0.4,2.2,2.973815593,0.353212948,1.112497557,0.641034269,0.883189633,2.93292,0.75717,0.94351,0.78229,1.20143,1.01394,0.46649,1.17911,0.81943,0.73512,0.01394,0.53351,0.17911,0.18057,0.26488,162,69,184,121,108,0.46649,0.00167,0.1617488,gini minimization and supply per capita maximization - 5k nfe,2020_drought
704,0.340721944,0.354655564,0.740440064,0.544238358,5.751,1.349,0,0.4,2.2,3.280771224,0.584944383,0.035240075,0.819863209,1.242931109,2.93292,0.75717,0.94351,0.78229,1.20143,1.1186,0.77254,0.03735,1.04803,1.03454,0.1186,0.22746,0.96265,0.04803,0.03454,179,113,6,155,152,0.03735,0.00141,0.243126755,gini minimization and supply per capita maximization - 5k nfe,2020_drought
705,-0.119284599,0.100497367,-0.695561322,-0.515823397,5.751,1.349,0,0.4,2.2,2.981766971,0.750147211,0.803438148,0.429827321,0.998570349,2.93292,0.75717,0.94351,0.78229,1.20143,1.01665,0.99072,0.85154,0.54945,0.83115,0.01665,0.00928,0.14846,0.45055,0.16885,163,146,133,81,122,0.54945,5.00E-05,0.103216645,gini minimization and supply per capita maximization - 5k nfe,2020_drought
