aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,average_supply_percapita,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,experiment
-0.5525718545024616,0.5638072032655095,-0.24392074232322525,-0.4292184744009767,5.751,1.349,0.0,0.4,2.2,2.7001302545734,0.4489958178774188,0.8110231646326775,0.7677572370659651,1.2358435258505387,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.921,0.593,0.859,0.982,1.029,0.07899999999999996,0.40700000000000003,0.14100000000000001,0.018000000000000016,0.028999999999999915,148.0,87.0,134.0,145.0,151.0,0.8768,133.0,0.593,0.08541353383458647,0.0907846715328467,138.0,0.4473795686230433,2.0,1.0,0.0,supplied_demand_deficit-supplied_demand_GINI-energy_costs
-0.6842061124956789,0.3791903586005292,-0.6436902687113528,-0.567361999023763,5.751,1.349,0.0,0.4,2.2,2.614567986877809,0.5689967669096561,0.9508724077527234,0.7635262137567452,1.0657866247030667,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.891,0.752,1.007,0.976,0.887,0.10899999999999999,0.248,0.006999999999999895,0.02400000000000002,0.11299999999999999,143.0,110.0,157.0,144.0,130.0,0.9026,136.8,0.752,0.06315789473684211,0.05309107024152447,138.0,0.5686121847078309,2.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI-energy_costs
-0.7234317720898042,0.14120726315544507,-0.8753567383929579,-0.6450565563137042,5.751,1.349,0.0,0.4,2.2,2.5890713081416274,0.7236857789489607,0.9467666010064619,0.7385214302544649,0.9657048816484853,5.96375,2.933,0.757,0.944,0.782,1.201,0.883,0.956,1.003,0.944,0.804,0.11699999999999999,0.04400000000000004,0.0029999999999998916,0.05600000000000005,0.19599999999999995,141.0,140.0,157.0,139.0,118.0,0.9179999999999999,139.0,0.804,0.0460431654676259,0.041045751633986896,138.0,0.5962630824879779,4.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI-energy_costs
-0.6890582905286289,0.14120726315544507,-0.8753567383929579,-0.6450565563137042,5.751,1.349,0.0,0.4,2.2,2.6114140711563913,0.7236857789489607,0.9467666010064619,0.716178667239701,0.9657048816484853,5.96375,2.933,0.757,0.944,0.782,1.201,0.89,0.956,1.003,0.916,0.804,0.10999999999999999,0.04400000000000004,0.0029999999999998916,0.08399999999999996,0.19599999999999995,143.0,140.0,157.0,135.0,118.0,0.9138,138.6,0.804,0.04963924963924964,0.04062158021448892,138.0,0.587669712097684,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI-energy_costs
-0.6842061124956789,0.3791903586005292,-0.6436902687113528,-0.59677771610077,5.751,1.349,0.0,0.4,2.2,2.614567986877809,0.5689967669096561,0.9508724077527234,0.7444059976566908,1.0849068408031213,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.891,0.752,1.007,0.952,0.903,0.10899999999999999,0.248,0.006999999999999895,0.04800000000000004,0.09699999999999998,143.0,110.0,157.0,141.0,132.0,0.901,136.6,0.752,0.06149341142020498,0.05069922308546058,138.0,0.5759661139770826,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI-energy_costs
0.08836992955990336,0.5638072032655095,-0.24392074232322525,-0.4292184744009767,5.751,1.349,0.0,0.4,2.2,3.116742414213937,0.4489958178774188,0.8110231646326775,0.351145077425428,1.2358435258505387,5.963749999999999,2.933,0.757,0.944,0.782,1.201,1.063,0.593,0.859,0.449,1.029,0.06299999999999994,0.40700000000000003,0.14100000000000001,0.5509999999999999,0.028999999999999915,170.0,87.0,134.0,66.0,151.0,0.7985999999999999,121.6,0.449,0.17894736842105263,0.1666917104933634,138.0,0.33132908738740374,3.0,2.0,0.0,supplied_demand_deficit-supplied_demand_GINI-energy_costs
0.23867345662357442,0.10230494288246203,-0.8581672649209311,-0.37509827754804326,5.751,1.349,0.0,0.4,2.2,3.2144397068053236,0.7489722871263996,0.9103069350722057,0.2886259127884485,0.8014051582076231,5.96375,2.933,0.757,0.944,0.782,1.201,1.096,0.989,0.964,0.369,0.667,0.09600000000000009,0.01100000000000001,0.03600000000000003,0.631,0.33299999999999996,176.0,145.0,151.0,55.0,98.0,0.817,125.0,0.369,0.1888,0.1739045287637699,138.0,0.39356098549375274,2.0,2.0,0.0,supplied_demand_deficit-supplied_demand_GINI-energy_costs
-0.2049864920762448,0.48768423733424227,-0.167655474469949,-0.17660020656138992,5.751,1.349,0.0,0.4,2.2,2.926060740150441,0.4984757457327425,0.7119708126727243,0.7060286255846557,1.1212140758594367,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.998,0.658,0.754,0.903,0.934,0.0020000000000000018,0.34199999999999997,0.246,0.09699999999999998,0.06599999999999995,160.0,97.0,118.0,133.0,137.0,0.8493999999999999,129.0,0.658,0.08992248062015504,0.08099835177772545,138.0,0.25923160261045647,4.0,1.0,0.0,supplied_demand_deficit-supplied_demand_GINI-energy_costs
-0.6745061667565018,0.3791903586005292,-0.6398025093673653,-0.59677771610077,5.751,1.349,0.0,0.4,2.2,2.620872951608274,0.5689967669096561,0.9483453641791313,0.7381010329262258,1.0874338843767133,5.96375,2.933,0.757,0.944,0.782,1.201,0.894,0.752,1.005,0.944,0.905,0.10599999999999998,0.248,0.004999999999999893,0.05600000000000005,0.09499999999999997,143.0,110.0,157.0,139.0,133.0,0.9,136.4,0.752,0.06099706744868035,0.049422222222222194,138.0,0.5725691877062915,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI-energy_costs
-0.5201269024008583,-0.04234622483641326,-0.549875829922466,-0.6094471291268089,5.751,1.349,0.0,0.4,2.2,2.7212194734394424,0.8429955461436687,0.6158942433059343,0.6295193926281322,1.154121344482823,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.928,1.114,0.652,0.805,0.961,0.07199999999999995,0.1140000000000001,0.348,0.19499999999999995,0.039000000000000035,149.0,164.0,102.0,119.0,141.0,0.8920000000000001,135.0,0.652,0.09125925925925926,0.0968609865470852,138.0,0.4304490215716366,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI-energy_costs
