aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,average_supply_percapita,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,experiment
-0.6842061124956789,0.3791903586005292,-0.6436902687113528,-0.567361999023763,5.751,1.349,0.0,0.4,2.2,2.614567986877809,0.5689967669096561,0.9508724077527234,0.7635262137567452,1.0657866247030667,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.891,0.752,1.007,0.976,0.887,0.10899999999999999,0.248,0.006999999999999895,0.02400000000000002,0.11299999999999999,143.0,110.0,157.0,144.0,130.0,0.9026,136.8,0.752,0.06315789473684211,0.05309107024152447,138.0,0.5686121847078309,2.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.7234317720898042,0.14120726315544507,-0.8753567383929579,-0.6450565563137042,5.751,1.349,0.0,0.4,2.2,2.5890713081416274,0.7236857789489607,0.9467666010064619,0.7385214302544649,0.9657048816484853,5.96375,2.933,0.757,0.944,0.782,1.201,0.883,0.956,1.003,0.944,0.804,0.11699999999999999,0.04400000000000004,0.0029999999999998916,0.05600000000000005,0.19599999999999995,141.0,140.0,157.0,139.0,118.0,0.9179999999999999,139.0,0.804,0.0460431654676259,0.041045751633986896,138.0,0.5962630824879779,4.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.6890582905286289,0.14120726315544507,-0.8753567383929579,-0.6450565563137042,5.751,1.349,0.0,0.4,2.2,2.6114140711563913,0.7236857789489607,0.9467666010064619,0.716178667239701,0.9657048816484853,5.96375,2.933,0.757,0.944,0.782,1.201,0.89,0.956,1.003,0.916,0.804,0.10999999999999999,0.04400000000000004,0.0029999999999998916,0.08399999999999996,0.19599999999999995,143.0,140.0,157.0,135.0,118.0,0.9138,138.6,0.804,0.04963924963924964,0.04062158021448892,138.0,0.587669712097684,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.6842061124956789,0.3791903586005292,-0.6436902687113528,-0.59677771610077,5.751,1.349,0.0,0.4,2.2,2.614567986877809,0.5689967669096561,0.9508724077527234,0.7444059976566908,1.0849068408031213,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.891,0.752,1.007,0.952,0.903,0.10899999999999999,0.248,0.006999999999999895,0.04800000000000004,0.09699999999999998,143.0,110.0,157.0,141.0,132.0,0.901,136.6,0.752,0.06149341142020498,0.05069922308546058,138.0,0.5759661139770826,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.7234317720898042,0.14120726315544507,-0.8265143973993685,-0.6450565563137042,5.751,1.349,0.0,0.4,2.2,2.5890713081416274,0.7236857789489607,0.9150190793606288,0.7385214302544649,0.9974524032943184,5.963749999999999,2.933,0.757,0.944,0.782,1.201,0.883,0.956,0.969,0.944,0.831,0.11699999999999999,0.04400000000000004,0.031000000000000028,0.05600000000000005,0.16900000000000004,141.0,140.0,151.0,139.0,122.0,0.9166000000000001,138.6,0.831,0.03463203463203463,0.03046039711979053,138.0,0.5840524972395805,4.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.5525718545024616,0.5638072032655095,-0.30621381057403463,-0.4292184744009767,5.751,1.349,0.0,0.4,2.2,2.7001302545734,0.4489958178774188,0.8515136589957036,0.7677572370659651,1.1953530314875125,5.963749999999999,2.933,0.757,0.944,0.782,1.201,0.921,0.593,0.902,0.982,0.995,0.07899999999999996,0.40700000000000003,0.09799999999999998,0.018000000000000016,0.0050000000000000044,148.0,87.0,141.0,145.0,146.0,0.8785999999999999,133.4,0.593,0.07616191904047977,0.0804916913271113,138.0,0.46295283568574563,2.0,1.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.26332683427023457,0.44296881516653674,-0.5677496947319349,-0.11683019268113759,5.751,1.349,0.0,0.4,2.2,2.8881395177243476,0.5275407701417512,0.9429670314340066,0.782800357032913,0.822302323666982,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.985,0.697,0.999,1.001,0.685,0.015000000000000013,0.30300000000000005,0.0010000000000000009,0.0009999999999998899,0.31499999999999995,158.0,102.0,156.0,148.0,100.0,0.8734,132.8,0.685,0.10240963855421686,0.08555072131898325,138.0,0.34771888421246094,2.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.13418832366883526,0.3791903586005292,-0.6432222597693238,-0.567361999023763,5.751,1.349,0.0,0.4,2.2,2.9720795496152568,0.5689967669096561,0.9505682019404046,0.4060146510192969,1.0660908305153858,5.963750000000001,2.933,0.757,0.944,0.782,1.201,1.013,0.752,1.007,0.519,0.888,0.0129999999999999,0.248,0.006999999999999895,0.481,0.11199999999999999,162.0,110.0,157.0,77.0,130.0,0.8358000000000001,127.2,0.519,0.13647798742138365,0.1189758315386456,138.0,0.4309907352656128,3.0,1.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.6842061124956789,0.4701959398803277,-0.6436902687113528,-0.634685667608338,5.751,1.349,0.0,0.4,2.2,2.614567986877809,0.509843139077787,1.0100260355845925,0.7197658291767717,1.1095470092830404,5.96375,2.933,0.757,0.944,0.782,1.201,0.891,0.674,1.07,0.92,0.924,0.10899999999999999,0.32599999999999996,0.07000000000000006,0.07999999999999996,0.07599999999999996,143.0,99.0,167.0,136.0,135.0,0.8958,136.0,0.674,0.08470588235294117,0.07367716008037509,138.0,0.6081944971739244,3.0,1.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.15578600007716958,0.07822727921030834,-0.4968957083864055,-0.06355941320054037,5.751,1.349,0.0,0.4,2.2,2.95804105994984,0.7646227685132997,0.6598299419378642,0.747524821469809,0.8337314081291878,5.96375,2.933,0.757,0.944,0.782,1.201,1.009,1.01,0.699,0.956,0.694,0.008999999999999897,0.010000000000000009,0.30100000000000005,0.04400000000000004,0.30600000000000005,162.0,148.0,109.0,141.0,102.0,0.8736,132.4,0.694,0.09607250755287008,0.08626373626373629,138.0,0.19861710021860596,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.7234317720898042,0.14120726315544507,-0.8265143973993685,-0.5871416643072057,5.751,1.349,0.0,0.4,2.2,2.5890713081416274,0.7236857789489607,0.9150190793606288,0.7761661100586891,0.9598077234900942,5.96375,2.933,0.757,0.944,0.782,1.201,0.883,0.956,0.969,0.993,0.799,0.11699999999999999,0.04400000000000004,0.031000000000000028,0.007000000000000006,0.20099999999999996,141.0,140.0,151.0,147.0,117.0,0.9199999999999999,139.2,0.799,0.04310344827586207,0.04121739130434782,138.0,0.5695737742379559,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.31810486626906465,0.43784713095154104,-0.3461885858485205,-0.11848995565934561,5.751,1.349,0.0,0.4,2.2,2.8525337969251083,0.5308698648814983,0.7956232159200401,0.8173272318963174,0.9673958903770365,5.963750000000002,2.933,0.757,0.944,0.782,1.201,0.973,0.701,0.843,1.045,0.805,0.027000000000000024,0.29900000000000004,0.15700000000000003,0.04499999999999993,0.19499999999999995,156.0,103.0,132.0,154.0,118.0,0.8734,132.6,0.701,0.0856711915535445,0.0784062285321731,138.0,0.305157634682118,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.16658612734291242,0.44296881516653674,-0.5677496947319349,-0.11683019268113759,5.751,1.349,0.0,0.4,2.2,2.951020977227107,0.5275407701417512,0.9429670314340066,0.7199188975301537,0.822302323666982,5.963750000000001,2.933,0.757,0.944,0.782,1.201,1.006,0.697,0.999,0.921,0.685,0.006000000000000005,0.30300000000000005,0.0010000000000000009,0.07899999999999996,0.31499999999999995,161.0,102.0,156.0,136.0,100.0,0.8615999999999999,131.0,0.685,0.10748091603053435,0.08765088207985144,138.0,0.3235337074806304,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.5525718545024616,0.44061479569666595,-0.30621381057403463,-0.4292184744009767,5.751,1.349,0.0,0.4,2.2,2.7001302545734,0.5290708827971671,0.7714385940759554,0.7677572370659651,1.1953530314875125,5.963749999999999,2.933,0.757,0.944,0.782,1.201,0.921,0.699,0.817,0.982,0.995,0.07899999999999996,0.30100000000000005,0.18300000000000005,0.018000000000000016,0.0050000000000000044,148.0,103.0,128.0,145.0,146.0,0.8828000000000001,134.0,0.699,0.06447761194029851,0.06859990937924784,139.0,0.43215473379353475,2.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.31810486626906465,0.517030911333169,-0.27853212762107804,-0.11848995565934561,5.751,1.349,0.0,0.4,2.2,2.8525337969251083,0.4794004076334401,0.8031159753202607,0.8173272318963174,1.011372588224874,5.96375,2.933,0.757,0.944,0.782,1.201,0.973,0.633,0.851,1.045,0.842,0.027000000000000024,0.367,0.14900000000000002,0.04499999999999993,0.15800000000000003,156.0,93.0,133.0,154.0,123.0,0.8687999999999999,131.8,0.633,0.0952959028831563,0.08793738489871086,138.0,0.30803946522066433,3.0,1.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.2231776096954896,0.1793360839576248,-0.5567604382076272,-0.3392401024479894,5.751,1.349,0.0,0.4,2.2,2.914236513697932,0.6989020454275439,0.7644627394074139,0.6121369197108751,0.9740117817562356,5.96375,2.933,0.757,0.944,0.782,1.201,0.994,0.923,0.81,0.783,0.811,0.006000000000000005,0.07699999999999996,0.18999999999999995,0.21699999999999997,0.18899999999999995,159.0,136.0,127.0,116.0,119.0,0.8642000000000001,131.4,0.783,0.06270928462709284,0.04952557278407776,138.0,0.32462855857718276,4.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.20440537387025448,0.4672457840127825,-0.5289140022539808,-0.17106561901484185,5.751,1.349,0.0,0.4,2.2,2.926438466984335,0.5117607403916914,0.9335038610733961,0.7092483806560183,0.8827985508945599,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.998,0.676,0.989,0.907,0.735,0.0020000000000000018,0.32399999999999995,0.01100000000000001,0.09299999999999997,0.265,160.0,99.0,155.0,134.0,108.0,0.861,131.2,0.676,0.10304878048780487,0.08343786295005808,138.0,0.3429076947879649,3.0,1.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.20430195303672768,0.4880464792370357,-0.5567604382076272,-0.3392401024479894,5.751,1.349,0.0,0.4,2.2,2.926505690526127,0.4982402884959268,0.9651244963390309,0.5998677428826799,0.9740117817562356,5.96375,2.933,0.757,0.944,0.782,1.201,0.998,0.658,1.022,0.767,0.811,0.0020000000000000018,0.34199999999999997,0.02200000000000002,0.23299999999999998,0.18899999999999995,160.0,97.0,160.0,113.0,119.0,0.8512000000000001,129.8,0.658,0.1066255778120185,0.09013157894736841,138.0,0.39708724323234496,3.0,1.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.31810486626906465,0.43784713095154104,-0.3461885858485205,-0.34078656720928874,5.751,1.349,0.0,0.4,2.2,2.8525337969251083,0.5308698648814983,0.7956232159200401,0.6728344343888544,1.1118886878844996,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.973,0.701,0.843,0.86,0.926,0.027000000000000024,0.29900000000000004,0.15700000000000003,0.14,0.07399999999999995,156.0,103.0,132.0,127.0,136.0,0.8606,130.8,0.701,0.07033639143730887,0.05828491749941902,138.0,0.3607317875696037,4.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.26770709801726045,0.07695759147568859,-0.559355967172724,-0.38754753521727436,5.751,1.349,0.0,0.4,2.2,2.8852923462887805,0.7654480655408025,0.6996038131214682,0.609681255819991,1.003724519228958,5.96375,2.933,0.757,0.944,0.782,1.201,0.984,1.011,0.741,0.78,0.836,0.016000000000000014,0.010999999999999899,0.259,0.21999999999999997,0.16400000000000003,158.0,149.0,116.0,115.0,122.0,0.8704000000000001,132.0,0.741,0.07212121212121213,0.06838235294117645,138.0,0.32289204797073684,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
