,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,average_supply_percapita,ZAs_below_128,ZAs_below_100,ZAs_below_50,scenario,experiment
0,-0.31658441449909236,-0.917874387456385,-0.2276329433283435,-0.6504076980363075,0.7128000000000001,0.16720000000000002,1.5899999999999999,0.95,2.0,0.17340121857559,0.6976907518466504,0.7724980613167729,0.4349963777008101,1.2888035905601767,3.3673900000000003,2.93292,0.75717,0.94351,0.78229,1.20143,0.05912,0.92145,0.81875,0.55606,1.07272,0.94088,0.07855000000000001,0.18125000000000002,0.44394,0.0727199999999999,9.0,135.0,128.0,82.0,157.0,0.6856199999999999,102.2,0.05912,0.2731898238747554,0.2791738864093813,78.0,2.0,2.0,1.0,,non-solvable-h-drought - supplied_demand_GINI ZAs_below_50 supplied_demand_deficit  average_supply_percapita - 5000nfe eps0.05 - restr0
1,-0.08516508633223352,-0.5878640388104079,0.03772865230150568,-0.07032731497269595,0.7128000000000001,0.16720000000000002,1.5899999999999999,0.95,2.0,0.32382378188404826,0.4831840252267652,0.814519750777256,0.6616260633836993,1.0842363787282312,3.36739,2.93292,0.75717,0.94351,0.78229,1.20143,0.11041,0.63814,0.86329,0.84576,0.90245,0.88959,0.36185999999999996,0.13671,0.15424000000000004,0.09755000000000003,18.0,94.0,135.0,125.0,132.0,0.67201,100.8,0.11041,0.21587301587301588,0.215381318730376,78.0,3.0,2.0,1.0,,non-solvable-h-drought - supplied_demand_GINI ZAs_below_50 supplied_demand_deficit  average_supply_percapita - 5000nfe eps0.05 - restr0
2,0.3530919232341114,-0.7452209739838582,-0.0011679428078887888,-0.05995192620330747,0.7128000000000001,0.16720000000000002,1.5899999999999999,0.95,2.0,0.6086908381021725,0.5854660330895078,0.7375205297356198,0.38350300986567765,1.0522095892070222,3.36739,2.93292,0.75717,0.94351,0.78229,1.20143,0.20754,0.77323,0.78168,0.49023,0.8758,0.7924599999999999,0.22677000000000003,0.21831999999999996,0.5097700000000001,0.12419999999999998,33.0,114.0,122.0,72.0,128.0,0.6256959999999999,93.8,0.20754,0.2046908315565032,0.2081483659796451,78.0,4.0,2.0,1.0,,non-solvable-h-drought - supplied_demand_GINI ZAs_below_50 supplied_demand_deficit  average_supply_percapita - 5000nfe eps0.05 - restr0
3,0.1022851239876219,-0.5878640388104079,0.0757725451642981,-0.07032731497269595,0.7128000000000001,0.16720000000000002,1.5899999999999999,0.95,2.0,0.44566641859195427,0.4831840252267652,0.789791220416441,0.5397834266757934,1.108964909089046,3.36739,2.93292,0.75717,0.94351,0.78229,1.20143,0.15195,0.63814,0.83708,0.69,0.92304,0.84805,0.36185999999999996,0.16291999999999995,0.31000000000000005,0.07696000000000003,24.0,94.0,131.0,102.0,135.0,0.648042,97.2,0.15195,0.21316872427983538,0.21493915517821377,78.0,3.0,2.0,1.0,,non-solvable-h-drought - supplied_demand_GINI ZAs_below_50 supplied_demand_deficit  average_supply_percapita - 5000nfe eps0.05 - restr0
4,-0.5675874576520321,-0.5659326159967286,-0.13445524288056587,-0.3206344544910209,0.7128000000000001,0.16720000000000002,1.5899999999999999,0.95,2.0,0.010249240526179138,0.4689286003978736,0.9406947074744941,0.8125009640546572,1.1350164875467958,3.3673900000000003,2.93292,0.75717,0.94351,0.78229,1.20143,0.00349,0.61932,0.99702,1.03862,0.94472,0.99651,0.38068,0.0029799999999999827,0.0386200000000001,0.055279999999999996,1.0,91.0,156.0,153.0,138.0,0.7206340000000001,107.8,0.00349,0.27606679035250464,0.27175625907187284,78.0,2.0,2.0,1.0,,non-solvable-h-drought - supplied_demand_GINI ZAs_below_50 supplied_demand_deficit  average_supply_percapita - 5000nfe eps0.05 - restr0
5,-0.3282143298886251,-0.8371598033554363,-0.155878101989267,-0.3922954283858109,0.7128000000000001,0.16720000000000002,1.5899999999999999,0.95,2.0,0.1658417735723937,0.6452262721810336,0.7783218941119898,0.6103287979768292,1.1676712621577536,3.36739,2.93292,0.75717,0.94351,0.78229,1.20143,0.05654,0.85216,0.82492,0.78018,0.9719,0.94346,0.14783999999999997,0.17508,0.21982000000000002,0.028100000000000014,9.0,125.0,129.0,115.0,142.0,0.6971400000000001,104.0,0.05654,0.2153846153846154,0.21834351780130246,78.0,3.0,1.0,1.0,,non-solvable-h-drought - supplied_demand_GINI ZAs_below_50 supplied_demand_deficit  average_supply_percapita - 5000nfe eps0.05 - restr0
6,-0.3473569891077499,-0.917874387456385,-0.5987212075456754,-0.6119033081674755,0.7128000000000001,0.16720000000000002,1.5899999999999999,0.95,2.0,0.15339904507996258,0.6976907518466504,1.0137054330580386,0.48002640461117835,1.0225683654041702,3.3673900000000003,2.93292,0.75717,0.94351,0.78229,1.20143,0.0523,0.92145,1.0744,0.61362,0.85113,0.9477,0.07855000000000001,0.07440000000000002,0.38637999999999995,0.14886999999999995,8.0,135.0,168.0,91.0,125.0,0.70258,105.4,0.0523,0.27628083491461103,0.26781633408295136,78.0,3.0,2.0,1.0,,non-solvable-h-drought - supplied_demand_GINI ZAs_below_50 supplied_demand_deficit  average_supply_percapita - 5000nfe eps0.05 - restr0
7,0.35429909238488433,-0.3555263684254226,-0.14196366547712036,-0.03862580112204994,0.7128000000000001,0.16720000000000002,1.5899999999999999,0.95,2.0,0.6094754980501749,0.3321645394765247,1.0823392430836034,0.3965803312204927,0.9468303881692043,3.3673899999999994,2.93292,0.75717,0.94351,0.78229,1.20143,0.20781,0.43869,1.14714,0.50695,0.78809,0.79219,0.56131,0.14714000000000005,0.49305,0.21191000000000004,33.0,64.0,179.0,75.0,115.0,0.6177360000000001,93.2,0.20781,0.2944206008583691,0.2885452685289509,78.0,4.0,3.0,1.0,,non-solvable-h-drought - supplied_demand_GINI ZAs_below_50 supplied_demand_deficit  average_supply_percapita - 5000nfe eps0.05 - restr0
8,0.5095126920060508,-0.9375832099607238,-0.29613606317154617,-0.026264189659663872,0.7128000000000001,0.16720000000000002,1.5899999999999999,0.95,2.0,0.7103643378039329,0.7105014864744705,0.8042143545870345,0.3037265389172854,0.8385832822172765,3.36739,2.93292,0.75717,0.94351,0.78229,1.20143,0.2422,0.93836,0.85236,0.38825,0.69799,0.7578,0.06164000000000003,0.14764,0.61175,0.30201,39.0,138.0,133.0,57.0,102.0,0.6238319999999999,93.8,0.2422,0.23368869936034115,0.23806794136883005,78.0,3.0,2.0,1.0,,non-solvable-h-drought - supplied_demand_GINI ZAs_below_50 supplied_demand_deficit  average_supply_percapita - 5000nfe eps0.05 - restr0
9,0.11674080657146824,-0.5633987269981059,-0.13445524288056587,-0.21805640562624307,0.7128000000000001,0.16720000000000002,1.5899999999999999,0.95,2.0,0.4550626122714544,0.46728157254876884,0.9423417353235988,0.4343633240714876,1.0683407557846902,3.3673899999999994,2.93292,0.75717,0.94351,0.78229,1.20143,0.15516,0.61714,0.99876,0.55525,0.88922,0.84484,0.38286,0.0012400000000000189,0.44475,0.11077999999999999,25.0,91.0,156.0,82.0,130.0,0.643106,96.8,0.15516,0.256198347107438,0.2514260479609894,78.0,3.0,3.0,1.0,,non-solvable-h-drought - supplied_demand_GINI ZAs_below_50 supplied_demand_deficit  average_supply_percapita - 5000nfe eps0.05 - restr0
