,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,min_supplied_demand,min_deficit_sq,supplied_demand_GINI,experiment,scenario
0,-0.5559211502194106,0.2461791826127977,-0.4260787799003678,-0.4133230194335651,5.751,1.349,0.0,0.4,2.2,2.6979532123573833,0.6554540313016815,0.7229676756335577,0.7802663250107996,1.1071087556965784,2.93292,0.75717,0.94351,0.78229,1.20143,0.91989,0.86566,0.76625,0.99741,0.92149,0.08011000000000001,0.13434000000000001,0.23375,0.002589999999999981,0.07850999999999997,147.0,127.0,120.0,147.0,135.0,0.76625,0.0,0.046359630482922146,gini and supplied demand deficit minimization - 5k nfe,2020_drought
1,-0.5559211502194106,0.25654374301992133,-0.2747835402508696,-0.4133230194335651,5.751,1.349,0.0,0.4,2.2,2.6979532123573833,0.6487170670370511,0.6313627341260142,0.7802663250107996,1.2054506614687521,2.93292,0.75717,0.94351,0.78229,1.20143,0.91989,0.85677,0.66916,0.99741,1.00335,0.08011000000000001,0.14322999999999997,0.33084,0.002589999999999981,0.003349999999999964,147.0,126.0,105.0,147.0,147.0,0.66916,0.0,0.07277683073283286,gini and supplied demand deficit minimization - 5k nfe,2020_drought
2,-0.1095185550506863,0.936437919492703,0.36702361786863347,0.10353490035925844,5.751,1.349,0.0,0.4,2.2,2.988114899217054,0.206785852329743,0.6561192960556453,0.8260622860164641,1.2866676663810939,2.93292,0.75717,0.94351,0.78229,1.20143,1.01882,0.2731,0.6954,1.05595,1.07095,0.01882000000000006,0.7269,0.3046,0.055949999999999944,0.07095000000000007,163.0,40.0,109.0,156.0,157.0,0.2731,0.00192,0.19019401004321598,gini and supplied demand deficit minimization - 5k nfe,2020_drought
3,-0.5302375095144749,0.2461791826127977,-0.4260787799003678,-0.4133230194335651,5.751,1.349,0.0,0.4,2.2,2.7146475788155917,0.6554540313016815,0.7229676756335577,0.7635719585525914,1.1071087556965784,2.93292,0.75717,0.94351,0.78229,1.20143,0.92558,0.86566,0.76625,0.97607,0.92149,0.07442000000000004,0.13434000000000001,0.23375,0.023930000000000007,0.07850999999999997,148.0,127.0,120.0,144.0,135.0,0.76625,0.00035,0.04305765367392061,gini and supplied demand deficit minimization - 5k nfe,2020_drought
4,-0.19366847680127752,0.7454931428898073,-0.126510537457468,0.05029128573670838,5.751,1.349,0.0,0.4,2.2,2.93341745007917,0.33089995712162523,0.852802392225729,0.8461513856496908,1.0004788149237855,2.93292,0.75717,0.94351,0.78229,1.20143,1.00017,0.43702,0.90386,1.08163,0.83274,0.00017000000000000348,0.56298,0.09614,0.08163000000000009,0.16725999999999996,160.0,64.0,141.0,160.0,122.0,0.43702,0.0,0.13692185495203762,gini and supplied demand deficit minimization - 5k nfe,2020_drought
5,-0.3189411315788445,0.1718730397310708,-0.23223659847459777,-0.24091265251402416,5.751,1.349,0.0,0.4,2.2,2.8519902244737514,0.703753024174804,0.5486712648336847,0.7382960513921333,1.1210394351256274,2.93292,0.75717,0.94351,0.78229,1.20143,0.97241,0.92945,0.58152,0.94376,0.93309,0.027590000000000003,0.07055,0.41847999999999996,0.05623999999999996,0.06691000000000003,156.0,137.0,91.0,139.0,137.0,0.58152,0.00194,0.07303192721484876,gini and supplied demand deficit minimization - 5k nfe,2020_drought
6,-0.6634751250472419,0.2952281690760694,-0.6003764469184809,-0.43118624237963643,5.751,1.349,0.0,0.4,2.2,2.628043128719293,0.6235721901005549,0.8681430003964579,0.8385653137339436,1.0054263670497512,2.93292,0.75717,0.94351,0.78229,1.20143,0.89605,0.82356,0.92012,1.07194,0.83686,0.10394999999999999,0.17644000000000004,0.07987999999999995,0.07193999999999989,0.16313999999999995,144.0,121.0,144.0,158.0,123.0,0.82356,0.00317,0.051007248495667824,gini and supplied demand deficit minimization - 5k nfe,2020_drought
7,-0.12725424552364384,0.936437919492703,0.463850621167027,0.32112351656839505,5.751,1.349,0.0,0.4,2.2,2.976586700409632,0.206785852329743,0.5931817439116894,0.9790230853598253,1.208172617989111,2.93292,0.75717,0.94351,0.78229,1.20143,1.01489,0.2731,0.6287,1.25148,1.00561,0.01489000000000007,0.7269,0.37129999999999996,0.2514799999999999,0.005609999999999893,163.0,40.0,98.0,185.0,147.0,0.2731,5e-05,0.22453986554154748,gini and supplied demand deficit minimization - 5k nfe,2020_drought
8,-0.1095185550506863,0.7793097798170966,0.36702361786863347,0.10321898741922649,5.751,1.349,0.0,0.4,2.2,2.988114899217054,0.3089191431188872,0.5539860052665011,0.8258569426054433,1.2868730097921148,2.93292,0.75717,0.94351,0.78229,1.20143,1.01882,0.40799,0.58715,1.05569,1.07112,0.01882000000000006,0.5920099999999999,0.41285000000000005,0.05569000000000002,0.07112000000000007,163.0,60.0,92.0,156.0,157.0,0.40799,0.0019,0.17337838131555242,gini and supplied demand deficit minimization - 5k nfe,2020_drought
9,-0.09082989310076975,0.648862099752636,0.2416751052724897,-0.0004449723520351112,5.751,1.349,0.0,0.4,2.2,3.0002625294845,0.3937101351607866,0.5506715464120951,0.7463277384866775,1.2727780504559414,2.93292,0.75717,0.94351,0.78229,1.20143,1.02296,0.51998,0.58364,0.95403,1.05939,0.02296000000000009,0.48002,0.41635999999999995,0.045969999999999955,0.059390000000000054,164.0,76.0,91.0,141.0,155.0,0.51998,0.00129,0.146680193236715,gini and supplied demand deficit minimization - 5k nfe,2020_drought
